nom,minute,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,rebonds,passes_dec,steal,contres,ball_perdu,faute_p,points,plus_moins,dnp,blesse,nom_simple,score_ttfl
Darius Bazley,0 days 00:28:31,3.0,14.0,21.4,0.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,2.0,0.0,2.0,2.0,0.0,6.0,-9.0,False,False,dariusbazley,10.0
Justin Jackson,0 days 00:29:10,3.0,6.0,50.0,0.0,3.0,0.0,2.0,2.0,100.0,0.0,2.0,2.0,3.0,0.0,0.0,4.0,0.0,8.0,-10.0,False,False,justinjackson,14.0
Isaiah Roby,0 days 00:28:06,9.0,12.0,75.0,1.0,2.0,50.0,0.0,3.0,0.0,4.0,3.0,7.0,0.0,1.0,2.0,1.0,4.0,19.0,-13.0,False,False,isaiahroby,39.0
Luguentz Dort,0 days 00:28:58,6.0,14.0,42.9,3.0,8.0,37.5,0.0,2.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,15.0,-13.0,False,False,luguentzdort,27.0
Shai Gilgeous-Alexander,0 days 00:33:20,8.0,10.0,80.0,3.0,3.0,100.0,4.0,5.0,80.0,0.0,7.0,7.0,7.0,0.0,0.0,5.0,1.0,23.0,-8.0,False,False,shaigilgeousalexander,46.0
Hamidou Diallo,0 days 00:21:59,6.0,9.0,66.7,0.0,0.0,0.0,1.0,2.0,50.0,2.0,6.0,8.0,0.0,2.0,1.0,3.0,3.0,13.0,-1.0,False,False,hamidoudiallo,26.0
Theo Maledon,0 days 00:20:11,2.0,6.0,33.3,1.0,5.0,20.0,2.0,4.0,50.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,2.0,7.0,-5.0,False,False,theomaledon,16.0
Aleksej Pokusevski,0 days 00:19:29,1.0,8.0,12.5,0.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,3.0,0.0,2.0,1.0,2.0,2.0,-2.0,False,False,aleksejpokusevski,10.0
Mike Muscala,0 days 00:19:54,5.0,6.0,83.3,3.0,4.0,75.0,1.0,1.0,100.0,0.0,5.0,5.0,2.0,0.0,0.0,1.0,3.0,14.0,2.0,False,False,mikemuscala,29.0
Kenrich Williams,0 days 00:09:34,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,False,False,kenrichwilliams,0.0
Josh Hall,0 days 00:00:48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,False,False,joshhall,-1.0
Moses Brown,,,,,,,,,,,,,,,,,,,,,True,False,mosesbrown,
Darius Miller,,,,,,,,,,,,,,,,,,,,,True,False,dariusmiller,
