nom,minute,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,rebonds,passes_dec,steal,contres,ball_perdu,faute_p,points,plus_moins,dnp,blesse,nom_simple,score_ttfl
Josh Okogie,0 days 00:19:13,1.0,4.0,25.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,3.0,1.0,False,False,joshokogie,7.0
Jarred Vanderbilt,0 days 00:26:50,5.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,2.0,1.0,0.0,1.0,10.0,-10.0,False,False,jarredvanderbilt,21.0
Naz Reid,0 days 00:25:06,6.0,7.0,85.7,1.0,2.0,50.0,0.0,0.0,0.0,0.0,8.0,8.0,2.0,1.0,4.0,0.0,3.0,13.0,-1.0,False,False,nazreid,35.0
Malik Beasley,0 days 00:25:25,7.0,11.0,63.6,2.0,5.0,40.0,1.0,1.0,100.0,0.0,1.0,1.0,4.0,2.0,0.0,2.0,2.0,17.0,-12.0,False,False,malikbeasley,31.0
D'Angelo Russell,0 days 00:20:37,2.0,9.0,22.2,1.0,5.0,20.0,4.0,4.0,100.0,1.0,1.0,2.0,4.0,0.0,0.0,2.0,4.0,9.0,-11.0,False,False,dangelorussell,17.0
Ricky Rubio,0 days 00:14:43,2.0,6.0,33.3,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,5.0,3.0,0.0,3.0,0.0,4.0,-13.0,False,False,rickyrubio,14.0
Anthony Edwards,0 days 00:24:01,2.0,12.0,16.7,1.0,5.0,20.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,3.0,2.0,5.0,-13.0,False,False,anthonyedwards,4.0
Jaden McDaniels,0 days 00:22:34,2.0,9.0,22.2,0.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,-20.0,False,False,jadenmcdaniels,8.0
Ed Davis,0 days 00:05:33,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,-9.0,False,False,eddavis,3.0
Jarrett Culver,0 days 00:18:33,6.0,13.0,46.2,1.0,5.0,20.0,2.0,2.0,100.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,4.0,15.0,-15.0,False,False,jarrettculver,26.0
Jordan McLaughlin,0 days 00:12:40,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,2.0,3.0,5.0,1.0,0.0,1.0,0.0,2.0,6.0,False,False,jordanmclaughlin,11.0
Jaylen Nowell,0 days 00:12:07,4.0,4.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,9.0,2.0,False,False,jaylennowell,16.0
Jake Layman,0 days 00:12:38,3.0,5.0,60.0,0.0,2.0,0.0,1.0,1.0,100.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,7.0,5.0,False,False,jakelayman,15.0
