nom,minute,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,rebonds,passes_dec,steal,contres,ball_perdu,faute_p,points,plus_moins,dnp,blesse,nom_simple,score_ttfl
Bojan Bogdanovic,0 days 00:29:25,4.0,11.0,36.4,1.0,5.0,20.0,7.0,7.0,100.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,3.0,16.0,23.0,False,False,bojanbogdanovic,31.0
Royce O'Neale,0 days 00:33:05,2.0,3.0,66.7,1.0,2.0,50.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,1.0,1.0,3.0,5.0,15.0,False,False,royceoneale,15.0
Rudy Gobert,0 days 00:29:37,6.0,8.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,11.0,2.0,0.0,4.0,2.0,2.0,12.0,19.0,False,False,rudygobert,31.0
Donovan Mitchell,0 days 00:34:09,11.0,19.0,57.9,6.0,8.0,75.0,8.0,8.0,100.0,3.0,4.0,7.0,5.0,0.0,1.0,4.0,3.0,36.0,16.0,False,False,donovanmitchell,64.0
Mike Conley,0 days 00:31:04,8.0,14.0,57.1,2.0,5.0,40.0,2.0,2.0,100.0,1.0,1.0,2.0,6.0,3.0,1.0,3.0,4.0,20.0,23.0,False,False,mikeconley,38.0
Joe Ingles,0 days 00:19:30,3.0,6.0,50.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,0.0,1.0,2.0,8.0,-5.0,False,False,joeingles,22.0
Derrick Favors,0 days 00:16:24,1.0,2.0,50.0,0.0,0.0,0.0,3.0,4.0,75.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,3.0,5.0,-2.0,False,False,derrickfavors,13.0
Jordan Clarkson,0 days 00:23:55,6.0,15.0,40.0,3.0,10.0,30.0,4.0,4.0,100.0,1.0,2.0,3.0,0.0,2.0,0.0,2.0,1.0,19.0,-6.0,False,False,jordanclarkson,33.0
Georges Niang,0 days 00:14:55,3.0,7.0,42.9,2.0,5.0,40.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,5.0,8.0,-4.0,False,False,georgesniang,15.0
Shaquille Harrison,0 days 00:01:59,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,False,False,shaquilleharrison,-2.0
Miye Oni,0 days 00:01:59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-6.0,False,False,miyeoni,0.0
Juwan Morgan,0 days 00:01:59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,False,False,juwanmorgan,0.0
Udoka Azubuike,0 days 00:01:59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,False,False,udokaazubuike,0.0
