nom,position,minute,points,rebonds,passes_dec,steal,contres,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,ball_perdu,faute_p,plus_moins,dnp,blesse,score_ttfl
Kawhi Leonard,F,0 days 00:34:08,15.0,6.0,3.0,1.0,1.0,4.0,21.0,19.0,0.0,3.0,0.0,7.0,10.0,70.0,1.0,5.0,2.0,0.0,-11.0,False,False,24.0
Nicolas Batum,F,0 days 00:31:41,14.0,1.0,3.0,1.0,0.0,5.0,9.0,55.6,4.0,7.0,57.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-10.0,False,False,27.0
Serge Ibaka,C,0 days 00:25:41,8.0,7.0,1.0,0.0,0.0,2.0,6.0,33.3,2.0,3.0,66.7,2.0,2.0,100.0,3.0,4.0,2.0,5.0,-8.0,False,False,17.0
Paul George,G,0 days 00:38:19,39.0,3.0,4.0,2.0,1.0,15.0,24.0,62.5,7.0,10.0,70.0,2.0,2.0,100.0,0.0,3.0,5.0,6.0,17.0,False,False,62.0
Patrick Beverley,G,0 days 00:28:31,7.0,9.0,0.0,0.0,0.0,2.0,3.0,66.7,1.0,1.0,100.0,2.0,2.0,100.0,2.0,7.0,1.0,4.0,-5.0,False,False,19.0
Lou Williams,,0 days 00:21:18,4.0,1.0,2.0,1.0,0.0,2.0,6.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,False,False,7.0
Luke Kennard,,0 days 00:25:33,14.0,4.0,1.0,0.0,0.0,5.0,7.0,71.4,2.0,3.0,66.7,2.0,3.0,66.7,0.0,4.0,0.0,1.0,3.0,False,False,28.0
Ivica Zubac,,0 days 00:23:06,4.0,4.0,4.0,0.0,0.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,12.0,False,False,13.0
Reggie Jackson,,0 days 00:16:41,7.0,2.0,6.0,0.0,0.0,3.0,4.0,75.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,16.0,False,False,18.0
Amir Coffey,,,,,,,,,,,,,,,,,,,,,,True,False,
Mfiondu Kabengele,,,,,,,,,,,,,,,,,,,,,,True,False,
Terance Mann,,,,,,,,,,,,,,,,,,,,,,True,False,
Daniel Oturu,,,,,,,,,,,,,,,,,,,,,,True,False,
Patrick Patterson,,,,,,,,,,,,,,,,,,,,,,True,False,
Marcus Morris Sr.,,,,,,,,,,,,,,,,,,,,,,True,True,
