nom,position,minute,points,rebonds,passes_dec,steal,contres,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,ball_perdu,faute_p,plus_moins,dnp,blesse,score_ttfl
Joe Harris,F,0 days 00:26:46,16.0,2.0,0.0,2.0,0.0,6.0,11.0,54.5,4.0,8.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,9.0,False,False,29.0
Kevin Durant,F,0 days 00:37:37,28.0,11.0,7.0,0.0,0.0,8.0,15.0,53.3,2.0,7.0,28.6,10.0,12.0,83.3,0.0,11.0,6.0,1.0,9.0,False,False,60.0
DeAndre Jordan,C,0 days 00:14:42,4.0,5.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,1.0,False,False,9.0
Timothe Luwawu-Cabarrot,G,0 days 00:23:49,14.0,4.0,1.0,0.0,0.0,5.0,7.0,71.4,4.0,5.0,80.0,0.0,0.0,0.0,1.0,3.0,0.0,5.0,8.0,False,False,27.0
Kyrie Irving,G,0 days 00:39:03,30.0,5.0,10.0,2.0,2.0,10.0,20.0,50.0,2.0,7.0,28.6,8.0,8.0,100.0,0.0,5.0,5.0,3.0,11.0,False,False,59.0
Jarrett Allen,,0 days 00:24:43,14.0,11.0,0.0,1.0,4.0,3.0,6.0,50.0,0.0,0.0,0.0,8.0,9.0,88.9,2.0,9.0,3.0,3.0,-5.0,False,False,36.0
Taurean Prince,,0 days 00:15:09,8.0,5.0,0.0,0.0,0.0,2.0,5.0,40.0,2.0,3.0,66.7,2.0,2.0,100.0,0.0,5.0,3.0,4.0,-12.0,False,False,14.0
Landry Shamet,,0 days 00:17:04,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-15.0,False,False,2.0
Caris LeVert,,0 days 00:24:44,6.0,5.0,5.0,0.0,3.0,3.0,13.0,23.1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,-3.0,False,False,13.0
Jeff Green,,0 days 00:16:22,2.0,3.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,-8.0,False,False,5.0
Bruce Brown,,,,,,,,,,,,,,,,,,,,,,True,False,
Chris Chiozza,,,,,,,,,,,,,,,,,,,,,,True,False,
Tyler Johnson,,,,,,,,,,,,,,,,,,,,,,True,False,
Rodions Kurucs,,,,,,,,,,,,,,,,,,,,,,True,False,
Reggie Perry,,,,,,,,,,,,,,,,,,,,,,True,False,
