nom,position,minute,points,rebonds,passes_dec,steal,contres,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,ball_perdu,faute_p,plus_moins,dnp,blesse,score_ttfl
Josh Okogie,F,0 days 00:33:33,12.0,4.0,2.0,0.0,0.0,4.0,9.0,44.4,1.0,4.0,25.0,3.0,3.0,100.0,1.0,3.0,2.0,3.0,17.0,False,False,22.0
Jake Layman,F,0 days 00:17:33,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-15.0,False,False,-1.0
Karl Anthony Towns,C,0 days 00:30:25,22.0,11.0,7.0,1.0,2.0,6.0,10.0,60.0,2.0,4.0,50.0,8.0,8.0,100.0,3.0,8.0,4.0,4.0,11.0,False,False,53.0
Malik Beasley,G,0 days 00:27:37,23.0,4.0,2.0,1.0,0.0,10.0,18.0,55.6,3.0,9.0,33.3,0.0,0.0,0.0,1.0,3.0,1.0,3.0,12.0,False,False,40.0
Ricky Rubio,G,0 days 00:25:25,3.0,1.0,3.0,2.0,0.0,1.0,4.0,25.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,1.0,1.0,3.0,17.0,False,False,9.0
Anthony Edwards,,0 days 00:25:09,15.0,4.0,4.0,0.0,0.0,5.0,12.0,41.7,1.0,5.0,20.0,4.0,4.0,100.0,2.0,2.0,1.0,1.0,4.0,False,False,29.0
D 'Angelo Russell,,0 days 00:33:20,18.0,5.0,4.0,1.0,0.0,7.0,16.0,43.8,4.0,11.0,36.4,0.0,0.0,0.0,1.0,4.0,2.0,2.0,5.0,False,False,35.0
Naz Reid,,0 days 00:18:34,8.0,5.0,1.0,0.0,3.0,2.0,5.0,40.0,0.0,1.0,0.0,4.0,6.0,66.7,2.0,3.0,0.0,0.0,-1.0,False,False,23.0
Juancho Hernangomez,,0 days 00:12:46,0.0,3.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-7.0,False,False,3.0
Jarrett Culver,,0 days 00:21:37,10.0,10.0,2.0,0.0,0.0,3.0,6.0,50.0,0.0,1.0,0.0,4.0,5.0,80.0,2.0,8.0,0.0,0.0,7.0,False,False,28.0
Ed Davis,,,,,,,,,,,,,,,,,,,,,,True,False,
Jaden McDaniels,,,,,,,,,,,,,,,,,,,,,,True,False,
Jarred Vanderbilt,,,,,,,,,,,,,,,,,,,,,,True,False,
