nom,minute,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,rebonds,passes_dec,steal,contres,ball_perdu,faute_p,points,plus_moins,dnp,blesse,nom_simple,score_ttfl
Bojan Bogdanovic,0 days 00:34:03,3.0,16.0,18.8,1.0,5.0,20.0,2.0,2.0,100.0,3.0,4.0,7.0,1.0,0.0,1.0,0.0,0.0,9.0,-7.0,False,False,bojanbogdanovic,15.0
Royce O'Neale,0 days 00:34:08,2.0,4.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,3.0,10.0,13.0,1.0,0.0,0.0,2.0,1.0,5.0,-16.0,False,False,royceoneale,19.0
Rudy Gobert,0 days 00:29:03,7.0,10.0,70.0,0.0,0.0,0.0,4.0,6.0,66.7,7.0,9.0,16.0,2.0,0.0,1.0,4.0,4.0,18.0,7.0,False,False,rudygobert,43.0
Donovan Mitchell,0 days 00:37:16,6.0,23.0,26.1,2.0,9.0,22.2,7.0,9.0,77.8,1.0,1.0,2.0,5.0,3.0,2.0,3.0,2.0,21.0,-5.0,False,False,donovanmitchell,37.0
Mike Conley,0 days 00:33:33,6.0,13.0,46.2,2.0,7.0,28.6,6.0,8.0,75.0,0.0,6.0,6.0,4.0,1.0,0.0,4.0,5.0,20.0,9.0,False,False,mikeconley,41.0
Joe Ingles,0 days 00:25:53,3.0,8.0,37.5,2.0,5.0,40.0,2.0,2.0,100.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,10.0,-13.0,False,False,joeingles,14.0
Derrick Favors,0 days 00:17:57,1.0,3.0,33.3,0.0,0.0,0.0,3.0,4.0,75.0,2.0,4.0,6.0,2.0,1.0,0.0,2.0,4.0,5.0,-6.0,False,False,derrickfavors,15.0
Jordan Clarkson,0 days 00:23:05,8.0,17.0,47.1,2.0,6.0,33.3,5.0,6.0,83.3,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,6.0,False,False,jordanclarkson,37.0
Georges Niang,0 days 00:04:02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,False,False,georgesniang,2.0
Juwan Morgan,0 days 00:01:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,False,False,juwanmorgan,0.0
Udoka Azubuike,,,,,,,,,,,,,,,,,,,,,True,False,udokaazubuike,
Shaquille Harrison,,,,,,,,,,,,,,,,,,,,,True,False,shaquilleharrison,
Elijah Hughes,,,,,,,,,,,,,,,,,,,,,True,False,elijahhughes,
Miye Oni,,,,,,,,,,,,,,,,,,,,,True,False,miyeoni,
