nom,position,minute,points,rebonds,passes_dec,steal,contres,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,ball_perdu,faute_p,plus_moins,dnp,blesse,score_ttfl
P.J. Tucker,F,0 days 00:43:31,7.0,11.0,1.0,1.0,1.0,3.0,10.0,30.0,1.0,4.0,25.0,0.0,2.0,0.0,3.0,8.0,4.0,3.0,-6.0,False,False,19.0
Danuel House Jr.,F,0 days 00:38:07,11.0,3.0,1.0,1.0,0.0,3.0,8.0,37.5,1.0,4.0,25.0,4.0,6.0,66.7,0.0,3.0,1.0,1.0,-6.0,False,False,23.0
Christian Wood,C,0 days 00:44:36,31.0,13.0,3.0,0.0,1.0,14.0,22.0,63.6,0.0,2.0,0.0,3.0,4.0,75.0,3.0,10.0,3.0,4.0,-6.0,False,False,57.0
David Nwaba,G,0 days 00:27:46,10.0,2.0,0.0,1.0,2.0,4.0,10.0,40.0,0.0,3.0,0.0,2.0,2.0,100.0,1.0,1.0,0.0,2.0,-5.0,False,False,18.0
James Harden,G,0 days 00:43:16,44.0,4.0,17.0,1.0,0.0,12.0,21.0,57.1,6.0,13.0,46.2,14.0,16.0,87.5,1.0,3.0,5.0,1.0,-6.0,False,False,93.0
Sterling Brown,,0 days 00:20:12,10.0,1.0,0.0,0.0,0.0,4.0,5.0,80.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,1.0,1.0,3.0,-6.0,False,False,16.0
Jae'Sean Tate,,0 days 00:37:14,13.0,4.0,2.0,1.0,0.0,5.0,9.0,55.6,1.0,4.0,25.0,2.0,2.0,100.0,1.0,3.0,1.0,4.0,14.0,False,False,26.0
Brodric Thomas,,0 days 00:10:44,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,4.0,False,False,5.0
Bruno Caboclo,C,0 days 00:04:33,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,False,False,2.0
DeMarcus Cousins,,,,,,,,,,,,,,,,,,,,,,True,False,
Eric Gordon,,,,,,,,,,,,,,,,,,,,,,True,False,
Mason Jones,,,,,,,,,,,,,,,,,,,,,,True,False,
John Wall,,,,,,,,,,,,,,,,,,,,,,True,False,
-,-,0 days 04:25:00,126.0,42.0,27.0,5.0,5.0,45.0,87.0,51.7,11.0,35.0,31.4,25.0,32.0,78.1,10.0,32.0,16.0,22.0,,False,False,259.0
