nom,position,minute,points,rebonds,passes_dec,steal,contres,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,ball_perdu,faute_p,plus_moins,dnp,blesse,score_ttfl
Dwayne Bacon,F,0 days 00:20:21,6.0,1.0,1.0,1.0,0.0,2.0,3.0,66.7,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,False,False,11.0
Aaron Gordon,F,0 days 00:30:39,15.0,9.0,3.0,0.0,0.0,6.0,12.0,50.0,1.0,2.0,50.0,2.0,4.0,50.0,1.0,8.0,0.0,3.0,16.0,False,False,33.0
Nikola Vucevic,C,0 days 00:31:05,22.0,17.0,3.0,2.0,0.0,8.0,20.0,40.0,2.0,7.0,28.6,4.0,4.0,100.0,3.0,14.0,3.0,1.0,5.0,False,False,48.0
Evan Fournier,G,0 days 00:29:57,13.0,5.0,0.0,2.0,0.0,4.0,8.0,50.0,1.0,5.0,20.0,4.0,5.0,80.0,1.0,4.0,2.0,4.0,-1.0,False,False,28.0
Markelle Fultz,G,0 days 00:31:05,21.0,4.0,7.0,1.0,0.0,7.0,13.0,53.8,0.0,2.0,0.0,7.0,8.0,87.5,2.0,2.0,2.0,3.0,5.0,False,False,42.0
Chuma Okeke,,0 days 00:18:21,3.0,3.0,2.0,0.0,0.0,1.0,4.0,25.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,2.0,0.0,1.0,-6.0,False,False,9.0
Terrence Ross,,0 days 00:28:05,25.0,2.0,1.0,2.0,0.0,9.0,14.0,64.3,3.0,6.0,50.0,4.0,4.0,100.0,0.0,2.0,2.0,0.0,11.0,False,False,42.0
Khem Birch,,0 days 00:17:55,8.0,5.0,1.0,0.0,0.0,4.0,6.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,5.0,False,False,16.0
Cole Anthony,,0 days 00:17:55,9.0,5.0,5.0,0.0,0.0,4.0,11.0,36.4,1.0,4.0,25.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,5.0,False,False,20.0
Michael Carter-Williams,,0 days 00:19:36,8.0,3.0,2.0,0.0,0.0,3.0,4.0,75.0,1.0,2.0,50.0,1.0,2.0,50.0,2.0,1.0,3.0,3.0,11.0,False,False,16.0
Mo Bamba,,,,,,,,,,,,,,,,,,,,,,True,False,
Jordan Bone,,,,,,,,,,,,,,,,,,,,,,True,False,
Gary Clark,,,,,,,,,,,,,,,,,,,,,,True,False,
Karim Mane,,,,,,,,,,,,,,,,,,,,,,True,False,
