nom,position,minute,points,rebonds,passes_dec,steal,contres,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,ball_perdu,faute_p,plus_moins,dnp,blesse,score_ttfl
Deni Avdija,F,0 days 00:15:31,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,3.0,-9.0,False,False,4.0
Rui Hachimura,F,0 days 00:24:09,8.0,2.0,0.0,0.0,0.0,2.0,4.0,50.0,1.0,1.0,100.0,3.0,4.0,75.0,0.0,2.0,0.0,1.0,-13.0,False,False,15.0
Thomas Bryant,C,0 days 00:33:55,11.0,6.0,1.0,0.0,0.0,4.0,6.0,66.7,0.0,2.0,0.0,3.0,3.0,100.0,2.0,4.0,0.0,4.0,-14.0,False,False,25.0
Bradley Beal,G,0 days 00:38:15,60.0,7.0,5.0,1.0,0.0,20.0,35.0,57.1,7.0,10.0,70.0,13.0,15.0,86.7,4.0,3.0,4.0,3.0,-9.0,False,False,99.0
Russell Westbrook,G,0 days 00:38:57,20.0,8.0,12.0,3.0,1.0,8.0,18.0,44.4,3.0,6.0,50.0,1.0,4.0,25.0,0.0,8.0,6.0,4.0,-4.0,False,False,46.0
Ish Smith,,0 days 00:23:05,9.0,5.0,5.0,2.0,0.0,4.0,8.0,50.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,4.0,1.0,2.0,5.0,False,False,24.0
Davis Bertans,,0 days 00:32:57,17.0,4.0,1.0,2.0,0.0,6.0,15.0,40.0,4.0,12.0,33.3,1.0,1.0,100.0,1.0,3.0,2.0,3.0,1.0,False,False,32.0
Jerome Robinson,,0 days 00:05:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-3.0,False,False,0.0
Robin Lopez,,0 days 00:14:05,5.0,2.0,1.0,0.0,0.0,1.0,3.0,33.3,0.0,1.0,0.0,3.0,4.0,75.0,1.0,1.0,0.0,1.0,9.0,False,False,12.0
Raul Neto,,0 days 00:11:34,5.0,0.0,2.0,1.0,0.0,2.0,4.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,False,False,10.0
Anthony Gill,,0 days 00:02:25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,False,False,1.0
Isaac Bonga,,,,,,,,,,,,,,,,,,,,,,True,False,
Troy Brown Jr.,,,,,,,,,,,,,,,,,,,,,,True,False,
Garrison Mathews,,,,,,,,,,,,,,,,,,,,,,True,False,
Moritz Wagner,,,,,,,,,,,,,,,,,,,,,,True,False,
