nom,position,minute,points,rebonds,passes_dec,steal,contres,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,ball_perdu,faute_p,plus_moins,dnp,blesse,score_ttfl
DeMar DeRozan,F,0 days 00:44:49,38.0,5.0,5.0,0.0,0.0,13.0,23.0,56.5,0.0,2.0,0.0,12.0,13.0,92.3,1.0,4.0,1.0,1.0,4.0,False,False,65.0
Keldon Johnson,F,0 days 00:42:45,17.0,9.0,4.0,1.0,0.0,6.0,12.0,50.0,2.0,5.0,40.0,3.0,4.0,75.0,3.0,6.0,0.0,3.0,4.0,False,False,40.0
LaMarcus Aldridge,C,0 days 00:33:46,10.0,3.0,1.0,2.0,1.0,4.0,11.0,36.4,1.0,3.0,33.3,1.0,2.0,50.0,1.0,2.0,0.0,4.0,5.0,False,False,19.0
Lonnie Walker IV,G,0 days 00:28:48,7.0,2.0,0.0,2.0,0.0,2.0,8.0,25.0,1.0,3.0,33.3,2.0,2.0,100.0,0.0,2.0,0.0,1.0,6.0,False,False,12.0
Dejounte Murray,G,0 days 00:41:53,22.0,14.0,4.0,1.0,1.0,7.0,18.0,38.9,3.0,6.0,50.0,5.0,6.0,83.3,2.0,12.0,2.0,2.0,7.0,False,False,48.0
Patty Mills,,0 days 00:30:10,21.0,0.0,1.0,0.0,0.0,8.0,14.0,57.1,5.0,8.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,False,False,32.0
Rudy Gay,,0 days 00:17:51,9.0,4.0,3.0,0.0,1.0,4.0,9.0,44.4,1.0,3.0,33.3,0.0,0.0,0.0,0.0,4.0,1.0,2.0,-3.0,False,False,18.0
Jakob Poeltl,,0 days 00:16:25,1.0,7.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,3.0,4.0,2.0,1.0,-3.0,False,False,7.0
Devin Vassell,,0 days 00:15:33,0.0,4.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,-5.0,False,False,7.0
Keita Bates-Diop,,,,,,,,,,,,,,,,,,,,,,True,False,
Tre Jones,,,,,,,,,,,,,,,,,,,,,,True,False,
Trey Lyles,,,,,,,,,,,,,,,,,,,,,,True,False,
Luka Samanic,,,,,,,,,,,,,,,,,,,,,,True,False,
