nom,position,minute,points,rebonds,passes_dec,steal,contres,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,ball_perdu,faute_p,plus_moins,dnp,blesse,score_ttfl
Jimmy Butler,F,0 days 00:36:00,26.0,10.0,9.0,2.0,1.0,10.0,18.0,55.6,0.0,1.0,0.0,6.0,6.0,100.0,3.0,7.0,0.0,1.0,11.0,False,False,57.0
Kelly Olynyk,F,0 days 00:31:34,18.0,6.0,5.0,1.0,1.0,7.0,15.0,46.7,4.0,11.0,36.4,0.0,0.0,0.0,1.0,5.0,2.0,2.0,3.0,False,False,39.0
Bam Adebayo,C,0 days 00:21:26,9.0,16.0,4.0,0.0,1.0,2.0,4.0,50.0,0.0,0.0,0.0,5.0,7.0,71.4,1.0,15.0,4.0,5.0,4.0,False,False,33.0
Duncan Robinson,G,0 days 00:34:33,7.0,5.0,2.0,0.0,1.0,2.0,8.0,25.0,2.0,8.0,25.0,1.0,2.0,50.0,0.0,5.0,0.0,1.0,10.0,False,False,21.0
Tyler Herro,G,0 days 00:37:11,31.0,9.0,2.0,0.0,0.0,12.0,20.0,60.0,1.0,5.0,20.0,6.0,8.0,75.0,0.0,9.0,3.0,3.0,-2.0,False,False,56.0
Precious Achiuwa,,0 days 00:12:39,7.0,2.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,2.0,4.0,5.0,False,False,10.0
Goran Dragic,,0 days 00:19:34,21.0,2.0,5.0,0.0,0.0,7.0,10.0,70.0,7.0,9.0,77.8,0.0,0.0,0.0,2.0,0.0,3.0,4.0,4.0,False,False,38.0
Avery Bradley,,0 days 00:18:36,5.0,3.0,1.0,0.0,0.0,2.0,8.0,25.0,1.0,5.0,20.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,-10.0,False,False,9.0
Andre Iguodala,,0 days 00:13:45,3.0,2.0,2.0,0.0,1.0,1.0,3.0,33.3,1.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,-12.0,False,False,9.0
KZ Okpala,F,0 days 00:07:05,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,False,False,2.0
Meyers Leonard,,0 days 00:07:33,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,4.0,1.0,0.0,5.0,False,False,7.0
Maurice Harkless,,,,,,,,,,,,,,,,,,,,,,True,False,
Udonis Haslem,,,,,,,,,,,,,,,,,,,,,,True,False,
Kendrick Nunn,,,,,,,,,,,,,,,,,,,,,,True,False,
Chris Silva,,,,,,,,,,,,,,,,,,,,,,True,False,
