nom,minute,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,rebonds,passes_dec,steal,contres,ball_perdu,faute_p,points,plus_moins,dnp,blesse,nom_simple,score_ttfl
David Nwaba,0 days 00:37:10,6.0,11.0,54.5,1.0,5.0,20.0,2.0,4.0,50.0,1.0,3.0,4.0,0.0,0.0,2.0,2.0,2.0,15.0,3.0,False,False,davidnwaba,29.0
P.J. Tucker,0 days 00:32:35,3.0,4.0,75.0,2.0,2.0,100.0,2.0,2.0,100.0,1.0,5.0,6.0,0.0,1.0,1.0,2.0,6.0,10.0,3.0,False,False,pjtucker,22.0
DeMarcus Cousins,0 days 00:23:27,2.0,9.0,22.2,1.0,2.0,50.0,4.0,6.0,66.7,2.0,12.0,14.0,1.0,2.0,4.0,1.0,3.0,9.0,-4.0,False,False,demarcuscousins,32.0
James Harden,0 days 00:38:50,5.0,14.0,35.7,1.0,5.0,20.0,4.0,4.0,100.0,0.0,4.0,4.0,12.0,1.0,2.0,4.0,2.0,15.0,3.0,False,False,jamesharden,35.0
John Wall,0 days 00:37:08,12.0,20.0,60.0,0.0,3.0,0.0,4.0,4.0,100.0,1.0,5.0,6.0,3.0,2.0,1.0,5.0,1.0,28.0,3.0,False,False,johnwall,46.0
Jae'Sean Tate,0 days 00:23:36,3.0,6.0,50.0,1.0,3.0,33.3,1.0,2.0,50.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,4.0,8.0,-12.0,False,False,jaeseantate,16.0
Eric Gordon,0 days 00:33:26,7.0,15.0,46.7,2.0,10.0,20.0,4.0,4.0,100.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,20.0,-16.0,False,False,ericgordon,37.0
Sterling Brown,0 days 00:13:48,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,-15.0,False,False,sterlingbrown,4.0
Bruno Caboclo,,,,,,,,,,,,,,,,,,,,,True,False,brunocaboclo,
Ben McLemore,,,,,,,,,,,,,,,,,,,,,True,True,benmclemore,
Brodric Thomas,,,,,,,,,,,,,,,,,,,,,True,False,brodricthomas,
Christian Wood,,,,,,,,,,,,,,,,,,,,,True,True,christianwood,
