nom,minute,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,rebonds,passes_dec,steal,contres,ball_perdu,faute_p,points,plus_moins,dnp,blesse,nom_simple,score_ttfl
David Nwaba,0 days 00:10:28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-12.0,False,False,davidnwaba,2.0
P.J. Tucker,0 days 00:22:53,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,-19.0,False,False,pjtucker,5.0
Christian Wood,0 days 00:25:54,8.0,18.0,44.4,2.0,5.0,40.0,0.0,0.0,0.0,2.0,6.0,8.0,1.0,0.0,0.0,2.0,1.0,18.0,-23.0,False,False,christianwood,28.0
John Wall,0 days 00:29:54,4.0,11.0,36.4,0.0,1.0,0.0,2.0,3.0,66.7,0.0,0.0,0.0,5.0,2.0,1.0,3.0,0.0,10.0,-18.0,False,False,johnwall,16.0
James Harden,0 days 00:30:55,5.0,16.0,31.3,1.0,6.0,16.7,5.0,5.0,100.0,1.0,6.0,7.0,6.0,1.0,0.0,3.0,2.0,16.0,-23.0,False,False,jamesharden,32.0
Eric Gordon,0 days 00:20:37,5.0,10.0,50.0,3.0,8.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,13.0,-17.0,False,False,ericgordon,25.0
Jae'Sean Tate,0 days 00:25:07,4.0,9.0,44.4,0.0,2.0,0.0,1.0,1.0,100.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,4.0,9.0,2.0,False,False,jaeseantate,16.0
Sterling Brown,0 days 00:17:55,1.0,7.0,14.3,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,4.0,0.0,1.0,2.0,2.0,-9.0,False,False,sterlingbrown,6.0
DeMarcus Cousins,0 days 00:17:51,5.0,9.0,55.6,2.0,4.0,50.0,1.0,1.0,100.0,3.0,7.0,10.0,3.0,1.0,0.0,1.0,3.0,13.0,3.0,False,False,demarcuscousins,32.0
Ben McLemore,0 days 00:16:55,4.0,9.0,44.4,3.0,6.0,50.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,3.0,1.0,11.0,12.0,False,False,benmclemore,18.0
Mason Jones,0 days 00:12:00,1.0,4.0,25.0,1.0,3.0,33.3,2.0,4.0,50.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,5.0,9.0,False,False,masonjones,15.0
Kenyon Martin Jr.,0 days 00:05:16,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,False,False,kenyonmartinjr,1.0
Bruno Caboclo,0 days 00:04:15,1.0,1.0,100.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,False,False,brunocaboclo,10.0
