nom,position,minute,points,rebonds,passes_dec,steal,contres,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,ball_perdu,faute_p,plus_moins,dnp,blesse,score_ttfl
Harrison Barnes,F,0 days 00:31:30,21.0,4.0,8.0,1.0,0.0,6.0,8.0,75.0,2.0,2.0,100.0,7.0,10.0,70.0,0.0,4.0,3.0,3.0,-15.0,False,False,47.0
Marvin Bagley III,F,0 days 00:29:16,15.0,4.0,2.0,0.0,1.0,6.0,9.0,66.7,1.0,3.0,33.3,2.0,5.0,40.0,2.0,2.0,0.0,3.0,-13.0,False,False,33.0
Richaun Holmes,C,0 days 00:24:33,10.0,0.0,2.0,1.0,3.0,5.0,7.0,71.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,False,False,19.0
Buddy Hield,G,0 days 00:32:26,15.0,5.0,6.0,1.0,0.0,6.0,14.0,42.9,3.0,9.0,33.3,0.0,0.0,0.0,0.0,5.0,1.0,3.0,-18.0,False,False,33.0
De'Aaron Fox,G,0 days 00:25:54,23.0,1.0,3.0,2.0,1.0,9.0,11.0,81.8,0.0,1.0,0.0,5.0,7.0,71.4,0.0,1.0,4.0,1.0,-8.0,False,False,41.0
Tyrese Haliburton,,0 days 00:29:01,15.0,2.0,8.0,2.0,1.0,5.0,10.0,50.0,5.0,7.0,71.4,0.0,0.0,0.0,0.0,2.0,1.0,0.0,-15.0,False,False,34.0
Cory Joseph,,0 days 00:23:51,6.0,2.0,3.0,0.0,1.0,2.0,4.0,50.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,2.0,0.0,2.0,-21.0,False,False,15.0
Nemanja Bjelica,,0 days 00:10:49,2.0,1.0,1.0,0.0,0.0,1.0,4.0,25.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-16.0,False,False,3.0
Glenn Robinson III,,0 days 00:17:10,9.0,2.0,1.0,0.0,0.0,3.0,5.0,60.0,1.0,3.0,33.3,2.0,2.0,100.0,0.0,2.0,0.0,2.0,-5.0,False,False,18.0
Kyle Guy,,0 days 00:06:45,3.0,0.0,1.0,1.0,0.0,1.0,3.0,33.3,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,False,False,5.0
Justin James,,0 days 00:06:45,2.0,1.0,0.0,1.0,0.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,False,False,8.0
Jahmi'us Ramsey,,0 days 00:05:08,0.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,False,False,4.0
Robert Woodard II,,0 days 00:04:50,2.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,False,False,4.0
Hassan Whiteside,,,,,,,,,,,,,,,,,,,,,,True,False,
