nom,position,minute,points,rebonds,passes_dec,steal,contres,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,ball_perdu,faute_p,plus_moins,dnp,blesse,score_ttfl
Reggie Bullock,F,0 days 00:24:24,6.0,7.0,0.0,1.0,0.0,3.0,8.0,37.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,-1.0,False,False,14.0
Julius Randle,F,0 days 00:30:42,18.0,12.0,7.0,1.0,0.0,8.0,15.0,53.3,1.0,1.0,100.0,1.0,3.0,33.3,0.0,12.0,2.0,5.0,-2.0,False,False,41.0
Mitchell Robinson,C,0 days 00:26:43,6.0,5.0,1.0,2.0,3.0,3.0,4.0,75.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,1.0,3.0,6.0,False,False,20.0
RJ Barrett,G,0 days 00:44:14,19.0,8.0,2.0,1.0,1.0,7.0,21.0,33.3,1.0,5.0,20.0,4.0,7.0,57.1,5.0,3.0,0.0,4.0,-5.0,False,False,36.0
Elfrid Payton,G,0 days 00:30:38,16.0,6.0,1.0,0.0,0.0,4.0,17.0,23.5,1.0,4.0,25.0,7.0,8.0,87.5,2.0,4.0,0.0,4.0,1.0,False,False,26.0
Nerlens Noel,,0 days 00:11:20,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-14.0,False,False,3.0
Austin Rivers,,0 days 00:32:08,12.0,5.0,6.0,0.0,0.0,5.0,12.0,41.7,2.0,7.0,28.6,0.0,0.0,0.0,0.0,5.0,0.0,0.0,-19.0,False,False,28.0
Immanuel Quickley,,0 days 00:17:22,3.0,1.0,2.0,1.0,1.0,1.0,9.0,11.1,1.0,3.0,33.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-13.0,False,False,4.0
Kevin Knox II,,0 days 00:22:29,9.0,4.0,0.0,1.0,0.0,3.0,9.0,33.3,3.0,5.0,60.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,-13.0,False,False,15.0
Ignas Brazdeikis,,,,,,,,,,,,,,,,,,,,,,True,False,
Jared Harper,,,,,,,,,,,,,,,,,,,,,,True,False,
Theo Pinson,,,,,,,,,,,,,,,,,,,,,,True,False,
Dennis Smith Jr.,,,,,,,,,,,,,,,,,,,,,,True,False,
