nom,minute,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,rebonds,passes_dec,steal,contres,ball_perdu,faute_p,points,plus_moins,dnp,blesse,nom_simple,score_ttfl
Bojan Bogdanovic,0 days 00:28:41,4.0,11.0,36.4,3.0,8.0,37.5,0.0,0.0,0.0,0.0,7.0,7.0,3.0,1.0,0.0,3.0,2.0,11.0,2.0,False,False,bojanbogdanovic,24.0
Royce O'Neale,0 days 00:35:19,2.0,8.0,25.0,2.0,7.0,28.6,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,6.0,18.0,False,False,royceoneale,13.0
Rudy Gobert,0 days 00:29:50,6.0,8.0,75.0,0.0,0.0,0.0,1.0,6.0,16.7,6.0,12.0,18.0,1.0,1.0,3.0,0.0,1.0,13.0,22.0,False,False,rudygobert,46.0
Donovan Mitchell,0 days 00:33:23,9.0,15.0,60.0,4.0,7.0,57.1,6.0,6.0,100.0,0.0,7.0,7.0,4.0,0.0,0.0,5.0,4.0,28.0,5.0,False,False,donovanmitchell,50.0
Mike Conley,0 days 00:28:13,2.0,7.0,28.6,1.0,5.0,20.0,1.0,1.0,100.0,1.0,1.0,2.0,10.0,2.0,0.0,2.0,1.0,6.0,26.0,False,False,mikeconley,21.0
Jordan Clarkson,0 days 00:29:26,6.0,15.0,40.0,4.0,9.0,44.4,2.0,2.0,100.0,0.0,6.0,6.0,6.0,0.0,0.0,1.0,2.0,18.0,3.0,False,False,jordanclarkson,37.0
Derrick Favors,0 days 00:16:21,4.0,6.0,66.7,0.0,0.0,0.0,1.0,2.0,50.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,3.0,9.0,-6.0,False,False,derrickfavors,20.0
Joe Ingles,0 days 00:18:38,5.0,6.0,83.3,5.0,6.0,83.3,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,15.0,12.0,False,False,joeingles,31.0
Georges Niang,0 days 00:12:41,4.0,8.0,50.0,2.0,5.0,40.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,10.0,-2.0,False,False,georgesniang,15.0
Miye Oni,0 days 00:02:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,miyeoni,1.0
Jarrell Brantley,0 days 00:01:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,jarrellbrantley,0.0
Shaquille Harrison,0 days 00:01:49,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,False,False,shaquilleharrison,2.0
Udoka Azubuike,0 days 00:01:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,False,udokaazubuike,2.0
