nom,position,minute,points,rebonds,passes_dec,steal,contres,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,ball_perdu,faute_p,plus_moins,dnp,blesse,score_ttfl
Kawhi Leonard,F,0 days 00:38:41,20.0,16.0,9.0,0.0,3.0,8.0,19.0,42.1,2.0,4.0,50.0,2.0,4.0,50.0,4.0,12.0,0.0,2.0,8.0,False,False,53.0
Nicolas Batum,F,0 days 00:34:51,9.0,7.0,0.0,0.0,0.0,1.0,4.0,25.0,1.0,2.0,50.0,6.0,6.0,100.0,2.0,5.0,0.0,5.0,0.0,False,False,22.0
Serge Ibaka,C,0 days 00:33:35,13.0,4.0,1.0,0.0,2.0,5.0,12.0,41.7,1.0,6.0,16.7,2.0,2.0,100.0,1.0,3.0,1.0,0.0,2.0,False,False,25.0
Paul George,G,0 days 00:37:43,25.0,8.0,4.0,6.0,1.0,6.0,22.0,27.3,5.0,13.0,38.5,8.0,8.0,100.0,2.0,6.0,5.0,1.0,-12.0,False,False,50.0
Patrick Beverley,G,0 days 00:27:58,6.0,1.0,0.0,0.0,2.0,2.0,7.0,28.6,2.0,5.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,21.0,False,False,11.0
Lou Williams,,0 days 00:24:43,7.0,0.0,5.0,0.0,0.0,3.0,8.0,37.5,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,-12.0,False,False,12.0
Ivica Zubac,,0 days 00:14:24,12.0,2.0,0.0,0.0,0.0,5.0,8.0,62.5,0.0,0.0,0.0,2.0,2.0,100.0,1.0,1.0,0.0,1.0,-8.0,False,False,18.0
Luke Kennard,,0 days 00:17:44,6.0,2.0,0.0,0.0,0.0,2.0,3.0,66.7,2.0,2.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,-17.0,False,False,11.0
Reggie Jackson,,0 days 00:03:22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-12.0,False,False,-1.0
Amir Coffey,,0 days 00:00:12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0
Terance Mann,,0 days 00:06:44,2.0,3.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,False,False,5.0
Mfiondu Kabengele,,,,,,,,,,,,,,,,,,,,,,True,False,
Daniel Oturu,,,,,,,,,,,,,,,,,,,,,,True,False,
Patrick Patterson,,,,,,,,,,,,,,,,,,,,,,True,False,
