nom,position,minute,points,rebonds,passes_dec,steal,contres,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,ball_perdu,faute_p,plus_moins,dnp,blesse,score_ttfl
Khris Middleton,F,0 days 00:25:19,14.0,2.0,6.0,3.0,1.0,6.0,10.0,60.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,20.0,False,False,28.0
Giannis Antetokounmpo,F,0 days 00:27:46,29.0,12.0,8.0,2.0,2.0,9.0,19.0,47.4,1.0,5.0,20.0,10.0,18.0,55.6,1.0,11.0,2.0,4.0,31.0,False,False,73.0
Brook Lopez,C,0 days 00:15:56,9.0,3.0,1.0,0.0,1.0,3.0,7.0,42.9,3.0,6.0,50.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,13.0,False,False,19.0
Donte DiVincenzo,G,0 days 00:19:21,11.0,1.0,1.0,1.0,0.0,4.0,5.0,80.0,3.0,4.0,75.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,20.0,False,False,20.0
Jrue Holiday,G,0 days 00:25:56,11.0,1.0,4.0,3.0,0.0,4.0,9.0,44.4,3.0,6.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,27.0,False,False,24.0
Bobby Portis,,0 days 00:25:12,13.0,12.0,1.0,0.0,2.0,4.0,6.0,66.7,2.0,2.0,100.0,3.0,4.0,75.0,2.0,10.0,2.0,2.0,9.0,False,False,34.0
D.J. Augustin,,0 days 00:18:49,0.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,14.0,False,False,2.0
Thanasis Antetokounmpo,,0 days 00:15:06,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,-11.0,False,False,2.0
Pat Connaughton,,0 days 00:15:33,11.0,5.0,1.0,1.0,0.0,3.0,5.0,60.0,3.0,3.0,100.0,2.0,2.0,100.0,1.0,4.0,0.0,1.0,12.0,False,False,24.0
Bryn Forbes,,0 days 00:22:04,18.0,0.0,0.0,1.0,0.0,6.0,9.0,66.7,4.0,6.0,66.7,2.0,2.0,100.0,0.0,0.0,2.0,1.0,9.0,False,False,28.0
Jordan Nwora,,0 days 00:09:57,7.0,3.0,0.0,2.0,0.0,2.0,4.0,50.0,0.0,1.0,0.0,3.0,4.0,75.0,0.0,3.0,1.0,1.0,2.0,False,False,16.0
Sam Merrill,,0 days 00:09:32,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,False,False,-1.0
D.J. Wilson,,0 days 00:09:27,3.0,2.0,1.0,1.0,0.0,1.0,4.0,25.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,False,False,7.0
