nom,position,minute,points,rebonds,passes_dec,steal,contres,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,ball_perdu,faute_p,plus_moins,dnp,blesse,score_ttfl
Danuel House Jr.,F,0 days 00:35:32,5.0,6.0,1.0,0.0,1.0,1.0,4.0,25.0,1.0,4.0,25.0,2.0,2.0,100.0,1.0,5.0,0.0,2.0,14.0,False,False,17.0
P.J. Tucker,F,0 days 00:33:11,5.0,4.0,1.0,0.0,0.0,2.0,3.0,66.7,1.0,2.0,50.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,-1.0,False,False,10.0
Christian Wood,C,0 days 00:33:23,20.0,15.0,1.0,1.0,4.0,7.0,14.0,50.0,2.0,7.0,28.6,4.0,7.0,57.1,3.0,12.0,1.0,5.0,2.0,False,False,54.0
Eric Gordon,G,0 days 00:32:51,21.0,3.0,4.0,2.0,1.0,7.0,18.0,38.9,3.0,12.0,25.0,4.0,4.0,100.0,0.0,3.0,3.0,2.0,11.0,False,False,40.0
John Wall,G,0 days 00:37:13,28.0,4.0,6.0,3.0,2.0,11.0,22.0,50.0,2.0,8.0,25.0,4.0,6.0,66.7,1.0,3.0,5.0,0.0,-4.0,False,False,52.0
Sterling Brown,,0 days 00:26:23,11.0,6.0,1.0,1.0,0.0,4.0,6.0,66.7,3.0,5.0,60.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,8.0,False,False,26.0
Jae'Sean Tate,,0 days 00:20:28,5.0,2.0,1.0,2.0,0.0,1.0,3.0,33.3,0.0,1.0,0.0,3.0,4.0,75.0,1.0,1.0,0.0,1.0,7.0,False,False,14.0
DeMarcus Cousins,,0 days 00:11:03,2.0,6.0,0.0,0.0,2.0,1.0,6.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,-2.0,False,False,5.0
David Nwaba,,0 days 00:09:54,5.0,2.0,0.0,1.0,0.0,2.0,5.0,40.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,5.0,False,False,9.0
Bruno Caboclo,,,,,,,,,,,,,,,,,,,,,,True,False,
Brodric Thomas,,,,,,,,,,,,,,,,,,,,,,True,False,
James Harden,,,,,,,,,,,,,,,,,,,,,,True,True,
