nom,position,minute,points,rebonds,passes_dec,steal,contres,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,ball_perdu,faute_p,plus_moins,dnp,blesse,score_ttfl
LeBron James,F,0 days 00:34:05,26.0,11.0,7.0,1.0,1.0,11.0,20.0,55.0,1.0,4.0,25.0,3.0,3.0,100.0,2.0,9.0,6.0,0.0,20.0,False,False,49.0
Anthony Davis,F,0 days 00:34:24,26.0,10.0,4.0,3.0,3.0,10.0,20.0,50.0,4.0,10.0,40.0,2.0,3.0,66.7,0.0,10.0,4.0,0.0,12.0,False,False,55.0
Marc Gasol,C,0 days 00:19:41,3.0,4.0,2.0,1.0,2.0,1.0,3.0,33.3,1.0,2.0,50.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,11.0,False,False,12.0
Kyle Kuzma,G,0 days 00:30:15,5.0,7.0,0.0,0.0,0.0,2.0,5.0,40.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,6.0,1.0,2.0,21.0,False,False,14.0
Dennis Schroder,G,0 days 00:36:06,12.0,2.0,6.0,0.0,0.0,5.0,15.0,33.3,1.0,4.0,25.0,1.0,1.0,100.0,0.0,2.0,4.0,0.0,-1.0,False,False,16.0
Montrezl Harrell,,0 days 00:20:09,9.0,7.0,1.0,1.0,0.0,4.0,9.0,44.4,0.0,1.0,0.0,1.0,1.0,100.0,3.0,4.0,1.0,2.0,-13.0,False,False,18.0
Wesley Matthews,,0 days 00:30:46,4.0,3.0,1.0,0.0,1.0,1.0,4.0,25.0,1.0,4.0,25.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,-8.0,False,False,12.0
Talen Horton-Tucker,,0 days 00:22:03,4.0,2.0,2.0,1.0,1.0,2.0,5.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,-22.0,False,False,10.0
Markieff Morris,,0 days 00:14:28,5.0,6.0,1.0,0.0,0.0,2.0,6.0,33.3,1.0,3.0,33.3,0.0,0.0,0.0,2.0,4.0,0.0,3.0,-10.0,False,False,13.0
Quinn Cook,,,,,,,,,,,,,,,,,,,,,,True,False,
Jared Dudley,,,,,,,,,,,,,,,,,,,,,,True,False,
Alfonzo McKinnie,,,,,,,,,,,,,,,,,,,,,,True,False,
