nom,position,minute,points,rebonds,passes_dec,steal,contres,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,ball_perdu,faute_p,plus_moins,dnp,blesse,score_ttfl
Andrew Wiggins,F,0 days 00:36:26,19.0,9.0,4.0,0.0,1.0,6.0,15.0,40.0,2.0,3.0,66.7,5.0,6.0,83.3,2.0,7.0,0.0,2.0,2.0,False,False,39.0
Juan Toscano-Anderson,F,0 days 00:19:12,5.0,5.0,1.0,1.0,0.0,2.0,3.0,66.7,1.0,2.0,50.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,-2.0,False,False,14.0
James Wiseman,C,0 days 00:23:37,7.0,3.0,0.0,1.0,1.0,3.0,8.0,37.5,1.0,1.0,100.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,-4.0,False,False,10.0
Kelly Oubre Jr.,G,0 days 00:30:18,8.0,11.0,0.0,4.0,0.0,3.0,16.0,18.8,0.0,6.0,0.0,2.0,2.0,100.0,3.0,8.0,3.0,3.0,9.0,False,False,18.0
Stephen Curry,G,0 days 00:36:26,36.0,2.0,6.0,2.0,2.0,11.0,25.0,44.0,5.0,15.0,33.3,9.0,9.0,100.0,0.0,2.0,4.0,1.0,3.0,False,False,65.0
Kevon Looney,,0 days 00:17:53,8.0,4.0,4.0,0.0,0.0,3.0,5.0,60.0,0.0,0.0,0.0,2.0,2.0,100.0,3.0,1.0,0.0,2.0,12.0,False,False,19.0
Mychal Mulder,,0 days 00:11:34,7.0,0.0,0.0,1.0,0.0,2.0,6.0,33.3,2.0,5.0,40.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,0.0,False,False,13.0
Jordan Poole,,0 days 00:13:25,10.0,2.0,1.0,0.0,0.0,3.0,7.0,42.9,2.0,6.0,33.3,2.0,2.0,100.0,0.0,2.0,0.0,2.0,-10.0,False,False,20.0
Eric Paschall,,0 days 00:19:07,15.0,2.0,2.0,2.0,0.0,4.0,8.0,50.0,1.0,2.0,50.0,6.0,7.0,85.7,1.0,1.0,1.0,2.0,-13.0,False,False,29.0
Damion Lee,,0 days 00:21:37,12.0,2.0,2.0,2.0,0.0,4.0,7.0,57.1,4.0,5.0,80.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,11.0,False,False,24.0
Brad Wanamaker,,0 days 00:14:24,2.0,1.0,5.0,4.0,0.0,1.0,4.0,25.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,-3.0,False,False,10.0
Kent Bazemore,,,,,,,,,,,,,,,,,,,,,,True,False,
