nom,position,minute,points,rebonds,passes_dec,steal,contres,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,ball_perdu,faute_p,plus_moins,dnp,blesse,score_ttfl
Paul George,F,0 days 00:24:09,15.0,2.0,4.0,0.0,0.0,4.0,13.0,30.8,0.0,6.0,0.0,7.0,8.0,87.5,0.0,2.0,4.0,1.0,-22.0,False,False,26.0
Nicolas Batum,F,0 days 00:22:30,4.0,6.0,1.0,0.0,0.0,2.0,4.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,2.0,-17.0,False,False,11.0
Serge Ibaka,C,0 days 00:20:32,13.0,9.0,1.0,0.0,1.0,6.0,11.0,54.5,0.0,4.0,0.0,1.0,2.0,50.0,1.0,8.0,0.0,2.0,-14.0,False,False,31.0
Luke Kennard,G,0 days 00:29:00,7.0,2.0,1.0,1.0,0.0,3.0,11.0,27.3,1.0,6.0,16.7,0.0,0.0,0.0,0.0,2.0,2.0,2.0,-29.0,False,False,10.0
Patrick Beverley,G,0 days 00:22:55,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,100.0,0.0,2.0,1.0,4.0,-23.0,False,False,5.0
Lou Williams,,0 days 00:09:00,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-24.0,False,False,-2.0
Ivica Zubac,,0 days 00:16:28,10.0,2.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,0.0,0.0,4.0,4.0,100.0,1.0,1.0,0.0,1.0,-33.0,False,False,18.0
Reggie Jackson,,0 days 00:21:54,8.0,3.0,1.0,0.0,0.0,3.0,6.0,50.0,2.0,5.0,40.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,-21.0,False,False,15.0
Patrick Patterson,,0 days 00:09:51,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-26.0,False,False,1.0
Terance Mann,,0 days 00:24:51,4.0,3.0,2.0,0.0,0.0,2.0,8.0,25.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,-29.0,False,False,6.0
Amir Coffey,,0 days 00:18:39,1.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,1.0,-8.0,False,False,3.0
Mfiondu Kabengele,,0 days 00:15:11,5.0,2.0,0.0,1.0,0.0,1.0,3.0,33.3,1.0,3.0,33.3,2.0,2.0,100.0,0.0,2.0,0.0,2.0,-5.0,False,False,12.0
Daniel Oturu,,0 days 00:12:00,4.0,2.0,0.0,0.0,1.0,2.0,4.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,-4.0,False,False,7.0
Kawhi Leonard,,,,,,,,,,,,,,,,,,,,,,True,True,
