nom,position,minute,points,rebonds,passes_dec,steal,contres,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,ball_perdu,faute_p,plus_moins,dnp,blesse,score_ttfl
Tim Hardaway Jr.,F,0 days 00:23:59,18.0,5.0,2.0,2.0,0.0,7.0,14.0,50.0,4.0,8.0,50.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,27.0,False,False,35.0
Dorian Finney-Smith,F,0 days 00:18:02,8.0,1.0,1.0,0.0,0.0,2.0,4.0,50.0,2.0,4.0,50.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,25.0,False,False,16.0
Dwight Powell,C,0 days 00:18:54,4.0,4.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,3.0,1.0,2.0,12.0,False,False,11.0
Josh Richardson,G,0 days 00:27:42,21.0,3.0,2.0,1.0,0.0,8.0,13.0,61.5,4.0,8.0,50.0,1.0,1.0,100.0,2.0,1.0,0.0,3.0,22.0,False,False,39.0
Luka Doncic,G,0 days 00:26:55,24.0,9.0,8.0,1.0,0.0,8.0,18.0,44.4,0.0,5.0,0.0,8.0,9.0,88.9,0.0,9.0,2.0,0.0,29.0,False,False,52.0
Trey Burke,,0 days 00:18:30,5.0,2.0,1.0,1.0,0.0,2.0,3.0,66.7,1.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,28.0,False,False,11.0
Maxi Kleber,,0 days 00:17:04,5.0,5.0,1.0,0.0,1.0,1.0,2.0,50.0,1.0,2.0,50.0,2.0,2.0,100.0,0.0,5.0,0.0,2.0,26.0,False,False,16.0
Willie Cauley Stein,,0 days 00:18:01,9.0,6.0,2.0,0.0,1.0,3.0,5.0,60.0,0.0,1.0,0.0,3.0,3.0,100.0,4.0,2.0,0.0,0.0,31.0,False,False,23.0
Jalen Brunson,,0 days 00:13:19,11.0,2.0,3.0,0.0,0.0,4.0,6.0,66.7,1.0,3.0,33.3,2.0,2.0,100.0,0.0,2.0,0.0,0.0,20.0,False,False,23.0
James Johnson,,0 days 00:20:24,5.0,8.0,3.0,2.0,0.0,1.0,6.0,16.7,1.0,3.0,33.3,2.0,2.0,100.0,2.0,6.0,0.0,2.0,25.0,False,False,19.0
Josh Green,,0 days 00:12:34,4.0,2.0,2.0,0.0,0.0,1.0,3.0,33.3,0.0,0.0,0.0,2.0,2.0,100.0,0.0,2.0,1.0,0.0,2.0,False,False,8.0
Wes Iwundu,,0 days 00:12:34,6.0,1.0,0.0,1.0,0.0,3.0,6.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,False,False,10.0
Boban Marjanovic,,0 days 00:10:16,4.0,5.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,4.0,False,False,12.0
Tyrell Terry,,0 days 00:09:46,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,False,False,1.0
