nom,position,minute,points,rebonds,passes_dec,steal,contres,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,ball_perdu,faute_p,plus_moins,dnp,blesse,score_ttfl
Gordon Hayward,F,0 days 00:32:36,18.0,8.0,2.0,1.0,1.0,7.0,14.0,50.0,2.0,7.0,28.6,2.0,2.0,100.0,0.0,8.0,2.0,4.0,-7.0,False,False,37.0
P.J. Washington,F,0 days 00:26:49,12.0,8.0,5.0,0.0,0.0,4.0,10.0,40.0,2.0,5.0,40.0,2.0,2.0,100.0,1.0,7.0,1.0,5.0,-3.0,False,False,29.0
Bismack Biyombo,C,0 days 00:22:44,4.0,4.0,4.0,0.0,1.0,2.0,7.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,-20.0,False,False,7.0
Terry Rozier,G,0 days 00:29:24,12.0,3.0,4.0,0.0,1.0,3.0,8.0,37.5,2.0,5.0,40.0,4.0,4.0,100.0,1.0,2.0,1.0,2.0,-16.0,False,False,26.0
Devonte' Graham,G,0 days 00:24:28,15.0,2.0,1.0,0.0,0.0,5.0,13.0,38.5,5.0,11.0,45.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-13.0,False,False,26.0
Miles Bridges,,0 days 00:23:56,7.0,5.0,0.0,0.0,0.0,3.0,6.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,-31.0,False,False,10.0
LaMelo Ball,,0 days 00:30:25,12.0,7.0,9.0,2.0,0.0,5.0,16.0,31.3,0.0,5.0,0.0,2.0,3.0,66.7,2.0,5.0,2.0,2.0,-9.0,False,False,30.0
Caleb Martin,,0 days 00:17:24,7.0,3.0,2.0,0.0,1.0,2.0,4.0,50.0,0.0,2.0,0.0,3.0,5.0,60.0,2.0,1.0,3.0,0.0,0.0,False,False,17.0
Jalen McDaniels,,0 days 00:16:29,10.0,4.0,0.0,1.0,0.0,4.0,6.0,66.7,1.0,2.0,50.0,1.0,2.0,50.0,0.0,4.0,0.0,4.0,11.0,False,False,21.0
Malik Monk,,0 days 00:09:43,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,0.0,1.0,0.0,-6.0,False,False,5.0
Nick Richards,,0 days 00:06:02,3.0,3.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,2.0,0.0,1.0,9.0,False,False,9.0
Vernon Carey Jr.,,,,,,,,,,,,,,,,,,,,,,True,False,
Cody Martin,,,,,,,,,,,,,,,,,,,,,,True,False,
