nom,minute,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,rebonds,passes_dec,steal,contres,ball_perdu,faute_p,points,plus_moins,dnp,blesse,nom_simple,score_ttfl
Khris Middleton,0 days 00:35:58,11.0,19.0,57.9,3.0,8.0,37.5,6.0,6.0,100.0,2.0,8.0,10.0,4.0,0.0,0.0,2.0,3.0,31.0,-8.0,False,False,khrismiddleton,60.0
Giannis Antetokounmpo,0 days 00:32:41,14.0,25.0,56.0,2.0,5.0,40.0,5.0,7.0,71.4,1.0,7.0,8.0,4.0,0.0,1.0,2.0,2.0,35.0,-5.0,False,False,giannisantetokounmpo,61.0
Brook Lopez,0 days 00:32:21,4.0,12.0,33.3,4.0,12.0,33.3,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,1.0,1.0,12.0,-7.0,False,False,brooklopez,25.0
Donte DiVincenzo,0 days 00:29:50,4.0,10.0,40.0,1.0,4.0,25.0,2.0,3.0,66.7,0.0,5.0,5.0,3.0,2.0,1.0,0.0,0.0,11.0,3.0,False,False,dontedivincenzo,27.0
Jrue Holiday,0 days 00:33:42,7.0,14.0,50.0,3.0,5.0,60.0,0.0,1.0,0.0,0.0,4.0,4.0,5.0,2.0,1.0,2.0,4.0,17.0,-11.0,False,False,jrueholiday,33.0
D.J. Augustin,0 days 00:18:36,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-8.0,False,False,djaugustin,0.0
Bobby Portis,0 days 00:19:45,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,0.0,0.0,0.0,1.0,1.0,2.0,-10.0,False,False,bobbyportis,6.0
Thanasis Antetokounmpo,0 days 00:13:20,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,-12.0,False,False,thanasisantetokounmpo,8.0
Bryn Forbes,0 days 00:15:05,1.0,5.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,-6.0,False,False,brynforbes,1.0
Jordan Nwora,0 days 00:07:15,1.0,1.0,100.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,4.0,-1.0,False,False,jordannwora,6.0
Sam Merrill,0 days 00:01:27,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,False,False,sammerrill,5.0
D.J. Wilson,,,,,,,,,,,,,,,,,,,,,True,False,djwilson,
