nom,minute,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,rebonds,passes_dec,steal,contres,ball_perdu,faute_p,points,plus_moins,dnp,blesse,nom_simple,score_ttfl
Danny Green,0 days 00:28:36,4.0,8.0,50.0,4.0,8.0,50.0,0.0,0.0,0.0,1.0,5.0,6.0,1.0,0.0,0.0,1.0,2.0,12.0,17.0,False,False,dannygreen,26.0
Tobias Harris,0 days 00:39:37,9.0,17.0,52.9,1.0,5.0,20.0,3.0,3.0,100.0,1.0,2.0,3.0,5.0,2.0,0.0,0.0,2.0,22.0,20.0,False,False,tobiasharris,41.0
Joel Embiid,0 days 00:32:53,12.0,19.0,63.2,1.0,5.0,20.0,17.0,21.0,81.0,0.0,10.0,10.0,2.0,2.0,1.0,1.0,2.0,42.0,15.0,False,False,joelembiid,87.0
Tyrese Maxey,0 days 00:20:34,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,False,False,tyresemaxey,1.0
Ben Simmons,0 days 00:33:29,2.0,5.0,40.0,0.0,0.0,0.0,7.0,10.0,70.0,3.0,5.0,8.0,8.0,2.0,0.0,3.0,5.0,11.0,2.0,False,False,bensimmons,35.0
Matisse Thybulle,0 days 00:21:02,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,0.0,2.0,False,False,matissethybulle,5.0
Shake Milton,0 days 00:29:05,4.0,10.0,40.0,2.0,2.0,100.0,6.0,6.0,100.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,16.0,-2.0,False,False,shakemilton,21.0
Furkan Korkmaz,0 days 00:19:38,2.0,5.0,40.0,1.0,3.0,33.3,2.0,3.0,66.7,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,-9.0,False,False,furkankorkmaz,14.0
Dwight Howard,0 days 00:15:07,3.0,7.0,42.9,0.0,0.0,0.0,1.0,2.0,50.0,6.0,4.0,10.0,1.0,0.0,1.0,0.0,1.0,7.0,-7.0,False,False,dwighthoward,20.0
Tony Bradley,,,,,,,,,,,,,,,,,,,,,True,False,tonybradley,
Terrance Ferguson,,,,,,,,,,,,,,,,,,,,,True,False,terranceferguson,
Isaiah Joe,,,,,,,,,,,,,,,,,,,,,True,False,isaiahjoe,
Paul Reed,,,,,,,,,,,,,,,,,,,,,True,False,paulreed,
