nom,minute,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,rebonds,passes_dec,steal,contres,ball_perdu,faute_p,points,plus_moins,dnp,blesse,nom_simple,score_ttfl
Doug McDermott,0 days 00:32:07,5.0,8.0,62.5,1.0,3.0,33.3,2.0,2.0,100.0,0.0,4.0,4.0,2.0,2.0,0.0,2.0,2.0,13.0,-9.0,False,False,dougmcdermott,26.0
Domantas Sabonis,0 days 00:40:05,1.0,10.0,10.0,0.0,3.0,0.0,8.0,8.0,100.0,7.0,12.0,19.0,5.0,0.0,0.0,3.0,5.0,10.0,-8.0,False,False,domantassabonis,34.0
Myles Turner,0 days 00:36:20,8.0,12.0,66.7,4.0,7.0,57.1,5.0,6.0,83.3,1.0,3.0,4.0,1.0,3.0,6.0,5.0,5.0,25.0,-2.0,False,False,mylesturner,51.0
Justin Holiday,0 days 00:39:29,5.0,14.0,35.7,4.0,9.0,44.4,2.0,2.0,100.0,1.0,8.0,9.0,1.0,2.0,0.0,0.0,0.0,16.0,3.0,False,False,justinholiday,35.0
Malcolm Brogdon,0 days 00:38:11,5.0,22.0,22.7,1.0,10.0,10.0,1.0,2.0,50.0,1.0,4.0,5.0,5.0,1.0,1.0,4.0,4.0,12.0,-5.0,False,False,malcolmbrogdon,20.0
T.J. McConnell,0 days 00:23:41,4.0,7.0,57.1,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,7.0,2.0,0.0,1.0,3.0,8.0,-1.0,False,False,tjmcconnell,22.0
Jeremy Lamb,0 days 00:19:35,5.0,9.0,55.6,2.0,4.0,50.0,1.0,1.0,100.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,13.0,0.0,False,False,jeremylamb,22.0
Aaron Holiday,0 days 00:10:32,2.0,5.0,40.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,3.0,5.0,-3.0,False,False,aaronholiday,6.0
Goga Bitadze,,,,,,,,,,,,,,,,,,,,,True,False,gogabitadze,
Brian Bowen II,,,,,,,,,,,,,,,,,,,,,True,False,brianbowenii,
Jalen Lecque,,,,,,,,,,,,,,,,,,,,,True,False,jalenlecque,
Kelan Martin,,,,,,,,,,,,,,,,,,,,,True,False,kelanmartin,
JaKarr Sampson,,,,,,,,,,,,,,,,,,,,,True,False,jakarrsampson,
Cassius Stanley,,,,,,,,,,,,,,,,,,,,,True,False,cassiusstanley,
Edmond Sumner,,,,,,,,,,,,,,,,,,,,,True,False,edmondsumner,
