nom,minute,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,rebonds,passes_dec,steal,contres,ball_perdu,faute_p,points,plus_moins,dnp,blesse,nom_simple,score_ttfl
Brandon Ingram,0 days 00:37:20,10.0,19.0,52.6,3.0,6.0,50.0,1.0,2.0,50.0,0.0,9.0,9.0,11.0,3.0,1.0,3.0,2.0,24.0,17.0,False,False,brandoningram,54.0
Zion Williamson,0 days 00:29:34,7.0,9.0,77.8,0.0,0.0,0.0,1.0,4.0,25.0,4.0,6.0,10.0,3.0,1.0,1.0,6.0,3.0,15.0,6.0,False,False,zionwilliamson,33.0
Steven Adams,0 days 00:30:37,4.0,6.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,3.0,4.0,2.0,0.0,1.0,8.0,16.0,False,False,stevenadams,27.0
Lonzo Ball,0 days 00:28:48,4.0,9.0,44.4,4.0,8.0,50.0,4.0,6.0,66.7,1.0,4.0,5.0,2.0,1.0,2.0,5.0,3.0,16.0,16.0,False,False,lonzoball,34.0
Eric Bledsoe,0 days 00:34:27,6.0,12.0,50.0,4.0,8.0,50.0,2.0,4.0,50.0,0.0,2.0,2.0,6.0,1.0,1.0,4.0,1.0,18.0,4.0,False,False,ericbledsoe,36.0
JJ Redick,0 days 00:28:52,8.0,14.0,57.1,6.0,11.0,54.5,1.0,1.0,100.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,4.0,23.0,10.0,False,False,jjredick,40.0
Josh Hart,0 days 00:26:41,2.0,5.0,40.0,1.0,4.0,25.0,1.0,3.0,33.3,1.0,4.0,5.0,1.0,2.0,0.0,2.0,2.0,6.0,8.0,False,False,joshhart,18.0
Jaxson Hayes,0 days 00:06:17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,False,False,jaxsonhayes,0.0
Nicolo Melli,0 days 00:13:31,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,-6.0,False,False,nicolomelli,3.0
Nickeil Alexander-Walker,0 days 00:03:53,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,-2.0,False,False,nickeilalexanderwalker,5.0
Willy Hernangomez,,,,,,,,,,,,,,,,,,,,,True,False,willyhernangomez,
Kira Lewis Jr.,,,,,,,,,,,,,,,,,,,,,True,False,kiralewisjr,
Naji Marshall,,,,,,,,,,,,,,,,,,,,,True,False,najimarshall,
Sindarius Thornwell,,,,,,,,,,,,,,,,,,,,,True,False,sindariusthornwell,
