nom,minute,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,rebonds,passes_dec,steal,contres,ball_perdu,faute_p,points,plus_moins,dnp,blesse,nom_simple,score_ttfl
T.J. Warren,0 days 00:22:58,2.0,8.0,25.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,6.0,False,False,tjwarren,6.0
Domantas Sabonis,0 days 00:36:49,11.0,18.0,61.1,2.0,4.0,50.0,8.0,12.0,66.7,4.0,9.0,13.0,5.0,1.0,0.0,4.0,5.0,32.0,12.0,False,False,domantassabonis,67.0
Myles Turner,0 days 00:28:48,4.0,9.0,44.4,0.0,4.0,0.0,2.0,2.0,100.0,1.0,7.0,8.0,1.0,0.0,8.0,2.0,1.0,10.0,20.0,False,False,mylesturner,30.0
Victor Oladipo,0 days 00:28:16,9.0,14.0,64.3,2.0,5.0,40.0,2.0,3.0,66.7,0.0,4.0,4.0,4.0,1.0,0.0,1.0,3.0,22.0,5.0,False,False,victoroladipo,42.0
Malcolm Brogdon,0 days 00:34:51,8.0,16.0,50.0,2.0,4.0,50.0,3.0,3.0,100.0,2.0,5.0,7.0,8.0,2.0,0.0,1.0,2.0,21.0,0.0,False,False,malcolmbrogdon,44.0
Justin Holiday,0 days 00:22:23,2.0,6.0,33.3,1.0,5.0,20.0,1.0,2.0,50.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,2.0,6.0,-1.0,False,False,justinholiday,15.0
Doug McDermott,0 days 00:28:17,5.0,12.0,41.7,0.0,6.0,0.0,3.0,4.0,75.0,1.0,5.0,6.0,2.0,1.0,0.0,1.0,2.0,13.0,6.0,False,False,dougmcdermott,29.0
Aaron Holiday,0 days 00:17:19,3.0,8.0,37.5,1.0,4.0,25.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,2.0,3.0,7.0,5.0,False,False,aaronholiday,12.0
T.J. McConnell,0 days 00:20:20,2.0,3.0,66.7,0.0,0.0,0.0,1.0,2.0,50.0,1.0,3.0,4.0,5.0,1.0,0.0,1.0,4.0,5.0,17.0,False,False,tjmcconnell,17.0
Jalen Lecque,,,,,,,,,,,,,,,,,,,,,True,False,jalenlecque,
Kelan Martin,,,,,,,,,,,,,,,,,,,,,True,False,kelanmartin,
JaKarr Sampson,,,,,,,,,,,,,,,,,,,,,True,False,jakarrsampson,
Cassius Stanley,,,,,,,,,,,,,,,,,,,,,True,False,cassiusstanley,
Edmond Sumner,,,,,,,,,,,,,,,,,,,,,True,False,edmondsumner,
