nom,minute,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,rebonds,passes_dec,steal,contres,ball_perdu,faute_p,points,plus_moins,dnp,blesse,nom_simple,score_ttfl
Patrick Williams,0 days 00:10:02,1.0,4.0,25.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,-20.0,False,False,patrickwilliams,2.0
Lauri Markkanen,0 days 00:31:06,7.0,12.0,58.3,3.0,6.0,50.0,1.0,2.0,50.0,1.0,5.0,6.0,1.0,0.0,0.0,1.0,3.0,18.0,-15.0,False,False,laurimarkkanen,34.0
Daniel Gafford,0 days 00:10:42,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,-20.0,False,False,danielgafford,4.0
Zach LaVine,0 days 00:34:15,11.0,19.0,57.9,6.0,10.0,60.0,2.0,2.0,100.0,1.0,5.0,6.0,3.0,0.0,2.0,6.0,2.0,30.0,-21.0,False,False,zachlavine,50.0
Coby White,0 days 00:23:59,2.0,6.0,33.3,1.0,3.0,33.3,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,3.0,5.0,-22.0,False,False,cobywhite,7.0
Garrett Temple,0 days 00:26:03,4.0,9.0,44.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,2.0,1.0,1.0,1.0,8.0,9.0,False,False,garretttemple,17.0
Otto Porter Jr.,0 days 00:22:55,4.0,8.0,50.0,4.0,7.0,57.1,1.0,2.0,50.0,0.0,5.0,5.0,3.0,0.0,2.0,0.0,1.0,13.0,-1.0,False,False,ottoporterjr,32.0
Thaddeus Young,0 days 00:31:17,8.0,11.0,72.7,0.0,1.0,0.0,0.0,2.0,0.0,4.0,5.0,9.0,9.0,1.0,1.0,2.0,2.0,16.0,4.0,False,False,thaddeusyoung,42.0
Tomas Satoransky,0 days 00:24:01,1.0,7.0,14.3,1.0,3.0,33.3,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,2.0,1.0,3.0,6.0,False,False,tomassatoransky,7.0
Denzel Valentine,0 days 00:25:40,3.0,10.0,30.0,2.0,6.0,33.3,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,8.0,0.0,False,False,denzelvalentine,13.0
Ryan Arcidiacono,,,,,,,,,,,,,,,,,,,,,True,False,ryanarcidiacono,
Devon Dotson,,,,,,,,,,,,,,,,,,,,,True,False,devondotson,
Cristiano Felicio,,,,,,,,,,,,,,,,,,,,,True,False,cristianofelicio,
Chandler Hutchison,,,,,,,,,,,,,,,,,,,,,True,False,chandlerhutchison,
Luke Kornet,,,,,,,,,,,,,,,,,,,,,True,False,lukekornet,
