nom,minute,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,rebonds,passes_dec,steal,contres,ball_perdu,faute_p,points,plus_moins,dnp,blesse,nom_simple,score_ttfl
Timothe Luwawu-Cabarrot,0 days 00:39:53,7.0,17.0,41.2,3.0,10.0,30.0,4.0,4.0,100.0,1.0,5.0,6.0,2.0,2.0,1.0,4.0,1.0,21.0,3.0,False,False,timotheluwawucabarrot,39.0
Taurean Prince,0 days 00:18:35,2.0,8.0,25.0,1.0,4.0,25.0,4.0,4.0,100.0,0.0,5.0,5.0,0.0,1.0,0.0,1.0,3.0,9.0,-14.0,False,False,taureanprince,18.0
DeAndre Jordan,0 days 00:29:54,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,9.0,5.0,0.0,4.0,4.0,4.0,4.0,-5.0,False,False,deandrejordan,20.0
Joe Harris,0 days 00:41:46,5.0,13.0,38.5,2.0,4.0,50.0,2.0,2.0,100.0,5.0,3.0,8.0,3.0,1.0,0.0,0.0,1.0,14.0,-10.0,False,False,joeharris,29.0
Caris LeVert,0 days 00:38:11,12.0,29.0,41.4,2.0,9.0,22.2,2.0,2.0,100.0,1.0,3.0,4.0,11.0,5.0,0.0,3.0,5.0,28.0,7.0,False,False,carislevert,51.0
Landry Shamet,0 days 00:24:05,2.0,5.0,40.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,5.0,-6.0,False,False,landryshamet,12.0
Jarrett Allen,0 days 00:22:23,3.0,6.0,50.0,0.0,0.0,0.0,2.0,3.0,66.7,5.0,10.0,15.0,1.0,0.0,0.0,2.0,1.0,8.0,2.0,False,False,jarrettallen,25.0
Jeff Green,0 days 00:23:41,3.0,6.0,50.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,8.0,7.0,False,False,jeffgreen,16.0
Chris Chiozza,0 days 00:26:32,5.0,14.0,35.7,3.0,8.0,37.5,1.0,2.0,50.0,0.0,1.0,1.0,4.0,0.0,0.0,3.0,3.0,14.0,-9.0,False,False,chrischiozza,22.0
Bruce Brown,,,,,,,,,,,,,,,,,,,,,True,False,brucebrown,
Tyler Johnson,,,,,,,,,,,,,,,,,,,,,True,False,tylerjohnson,
Rodions Kurucs,,,,,,,,,,,,,,,,,,,,,True,False,rodionskurucs,
Reggie Perry,,,,,,,,,,,,,,,,,,,,,True,False,reggieperry,
