nom,minute,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,rebonds,passes_dec,steal,contres,ball_perdu,faute_p,points,plus_moins,dnp,blesse,nom_simple,score_ttfl
Will Barton,0 days 00:21:52,3.0,11.0,27.3,2.0,5.0,40.0,0.0,0.0,0.0,1.0,5.0,6.0,6.0,0.0,2.0,1.0,0.0,8.0,-4.0,False,False,willbarton,21.0
Paul Millsap,0 days 00:25:13,4.0,7.0,57.1,4.0,7.0,57.1,0.0,2.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,3.0,12.0,-6.0,False,False,paulmillsap,26.0
Nikola Jokic,0 days 00:31:42,8.0,12.0,66.7,0.0,1.0,0.0,3.0,3.0,100.0,3.0,9.0,12.0,12.0,0.0,0.0,7.0,5.0,19.0,27.0,False,False,nikolajokic,44.0
Gary Harris,0 days 00:24:42,1.0,8.0,12.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,False,False,garyharris,3.0
Jamal Murray,0 days 00:35:54,13.0,20.0,65.0,3.0,7.0,42.9,7.0,9.0,77.8,2.0,3.0,5.0,4.0,1.0,0.0,0.0,0.0,36.0,9.0,False,False,jamalmurray,68.0
Monte Morris,0 days 00:28:34,3.0,7.0,42.9,1.0,3.0,33.3,4.0,5.0,80.0,1.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,11.0,13.0,False,False,montemorris,27.0
JaMychal Green,0 days 00:27:13,5.0,10.0,50.0,3.0,8.0,37.5,1.0,2.0,50.0,2.0,3.0,5.0,3.0,2.0,0.0,4.0,2.0,14.0,14.0,False,False,jamychalgreen,30.0
PJ Dozier,0 days 00:19:42,3.0,8.0,37.5,1.0,3.0,33.3,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,False,False,pjdozier,12.0
Facundo Campazzo,0 days 00:21:24,5.0,8.0,62.5,5.0,7.0,71.4,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,15.0,26.0,False,False,facundocampazzo,30.0
Markus Howard,0 days 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,False,False,markushoward,0.0
Zeke Nnaji,0 days 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,False,False,zekennaji,0.0
Vlatko Cancar,0 days 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,False,False,vlatkocancar,0.0
R.J. Hampton,0 days 00:00:56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.0,False,False,rjhampton,-1.0
Bol Bol,,,,,,,,,,,,,,,,,,,,,True,False,bolbol,
Isaiah Hartenstein,,,,,,,,,,,,,,,,,,,,,True,False,isaiahhartenstein,
