nom,minute,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,rebonds,passes_dec,steal,contres,ball_perdu,faute_p,points,plus_moins,dnp,blesse,nom_simple,score_ttfl
Mikal Bridges,0 days 00:36:11,1.0,7.0,14.3,1.0,5.0,20.0,4.0,5.0,80.0,0.0,8.0,8.0,2.0,0.0,2.0,1.0,2.0,7.0,8.0,False,False,mikalbridges,23.0
Jae Crowder,0 days 00:30:52,2.0,6.0,33.3,2.0,6.0,33.3,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,6.0,-5.0,False,False,jaecrowder,14.0
Deandre Ayton,0 days 00:29:30,9.0,12.0,75.0,0.0,0.0,0.0,6.0,7.0,85.7,4.0,4.0,8.0,2.0,1.0,0.0,1.0,5.0,24.0,-15.0,False,False,deandreayton,47.0
Devin Booker,0 days 00:44:40,7.0,13.0,53.8,1.0,3.0,33.3,10.0,12.0,83.3,1.0,4.0,5.0,8.0,0.0,0.0,2.0,2.0,25.0,14.0,False,False,devinbooker,52.0
Chris Paul,0 days 00:35:46,6.0,12.0,50.0,1.0,3.0,33.3,2.0,2.0,100.0,0.0,9.0,9.0,6.0,1.0,1.0,2.0,3.0,15.0,-8.0,False,False,chrispaul,35.0
Cameron Payne,0 days 00:16:29,3.0,6.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,7.0,6.0,False,False,cameronpayne,9.0
Cameron Johnson,0 days 00:22:12,3.0,9.0,33.3,2.0,8.0,25.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,2.0,2.0,8.0,1.0,False,False,cameronjohnson,16.0
Dario Saric,0 days 00:17:02,6.0,9.0,66.7,2.0,5.0,40.0,1.0,2.0,50.0,1.0,3.0,4.0,1.0,1.0,0.0,2.0,3.0,15.0,12.0,False,False,dariosaric,29.0
Langston Galloway,0 days 00:03:58,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-19.0,False,False,langstongalloway,-1.0
Jevon Carter,0 days 00:03:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-19.0,False,False,jevoncarter,0.0
Ty-Shon Alexander,,,,,,,,,,,,,,,,,,,,,True,False,tyshonalexander,
Damian Jones,,,,,,,,,,,,,,,,,,,,,True,False,damianjones,
Frank Kaminsky,,,,,,,,,,,,,,,,,,,,,True,False,frankkaminsky,
E'Twaun Moore,,,,,,,,,,,,,,,,,,,,,True,False,etwaunmoore,
