nom,position,minute,points,rebonds,passes_dec,steal,contres,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,ball_perdu,faute_p,plus_moins,dnp,blesse,score_ttfl
Kawhi Leonard,F,0 days 00:34:00,26.0,2.0,3.0,2.0,0.0,10.0,26.0,38.5,1.0,8.0,12.5,5.0,5.0,100.0,0.0,2.0,3.0,5.0,1.0,False,False,37.0
Nicolas Batum,F,0 days 00:28:10,3.0,6.0,6.0,2.0,0.0,1.0,4.0,25.0,1.0,3.0,33.3,0.0,0.0,0.0,1.0,5.0,1.0,2.0,-2.0,False,False,17.0
Serge Ibaka,C,0 days 00:21:32,15.0,6.0,0.0,0.0,1.0,5.0,7.0,71.4,2.0,3.0,66.7,3.0,5.0,60.0,2.0,4.0,1.0,3.0,-8.0,False,False,32.0
Paul George,G,0 days 00:36:46,33.0,6.0,3.0,1.0,0.0,13.0,18.0,72.2,5.0,8.0,62.5,2.0,2.0,100.0,0.0,6.0,5.0,3.0,17.0,False,False,56.0
Patrick Beverley,G,0 days 00:22:07,10.0,6.0,3.0,0.0,0.0,4.0,9.0,44.4,2.0,5.0,40.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,10.0,False,False,21.0
Ivica Zubac,,0 days 00:27:31,11.0,6.0,1.0,1.0,1.0,4.0,5.0,80.0,0.0,0.0,0.0,3.0,4.0,75.0,3.0,3.0,1.0,4.0,17.0,False,False,26.0
Luke Kennard,,0 days 00:21:03,4.0,2.0,2.0,2.0,1.0,2.0,6.0,33.3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,-3.0,False,False,11.0
Lou Williams,,0 days 00:26:57,11.0,2.0,3.0,0.0,0.0,4.0,9.0,44.4,2.0,4.0,50.0,1.0,3.0,33.3,0.0,2.0,1.0,2.0,1.0,False,False,21.0
Patrick Patterson,,0 days 00:20:36,3.0,3.0,1.0,2.0,0.0,1.0,5.0,20.0,1.0,4.0,25.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,9.0,False,False,9.0
Terance Mann,,0 days 00:01:01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,False,False,-1.0
Reggie Jackson,,0 days 00:03:21,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,False,False,0.0
Amir Coffey,,0 days 00:01:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,False,False,0.0
Mfiondu Kabengele,,0 days 00:01:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,False,False,0.0
Daniel Oturu,,,,,,,,,,,,,,,,,,,,,,True,False,
