nom,minute,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,rebonds,passes_dec,steal,contres,ball_perdu,faute_p,points,plus_moins,dnp,blesse,nom_simple,score_ttfl
Dwayne Bacon,0 days 00:25:16,3.0,7.0,42.9,2.0,4.0,50.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,3.0,0.0,8.0,19.0,False,False,dwaynebacon,12.0
Aaron Gordon,0 days 00:27:55,9.0,17.0,52.9,6.0,9.0,66.7,0.0,0.0,0.0,6.0,5.0,11.0,1.0,1.0,0.0,2.0,1.0,24.0,6.0,False,False,aarongordon,45.0
Nikola Vucevic,0 days 00:31:09,9.0,16.0,56.3,2.0,5.0,40.0,3.0,3.0,100.0,2.0,6.0,8.0,2.0,2.0,3.0,0.0,0.0,23.0,12.0,False,False,nikolavucevic,48.0
Michael Carter-Williams,0 days 00:17:43,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,2.0,2.0,0.0,9.0,False,False,michaelcarterwilliams,1.0
Markelle Fultz,0 days 00:31:00,3.0,9.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,8.0,0.0,0.0,5.0,2.0,6.0,11.0,False,False,markellefultz,12.0
Terrence Ross,0 days 00:31:28,5.0,13.0,38.5,2.0,7.0,28.6,3.0,3.0,100.0,0.0,2.0,2.0,1.0,4.0,0.0,2.0,1.0,15.0,10.0,False,False,terrenceross,27.0
Gary Clark,0 days 00:20:53,2.0,5.0,40.0,2.0,4.0,50.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,2.0,1.0,6.0,14.0,False,False,garyclark,12.0
Cole Anthony,0 days 00:21:29,2.0,9.0,22.2,1.0,2.0,50.0,4.0,5.0,80.0,1.0,4.0,5.0,4.0,0.0,1.0,1.0,3.0,9.0,14.0,False,False,coleanthony,20.0
Khem Birch,0 days 00:22:53,5.0,7.0,71.4,0.0,0.0,0.0,2.0,2.0,100.0,6.0,6.0,12.0,1.0,1.0,1.0,1.0,4.0,12.0,6.0,False,False,khembirch,31.0
Mo Bamba,0 days 00:04:28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,-1.0,False,False,mobamba,3.0
Karim Mane,0 days 00:02:53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,karimmane,0.0
Jordan Bone,0 days 00:02:53,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,jordanbone,0.0
