nom,minute,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,rebonds,passes_dec,steal,contres,ball_perdu,faute_p,points,plus_moins,dnp,blesse,nom_simple,score_ttfl
Mikal Bridges,0 days 00:36:18,9.0,15.0,60.0,4.0,8.0,50.0,0.0,0.0,0.0,1.0,6.0,7.0,1.0,0.0,1.0,0.0,3.0,22.0,17.0,False,False,mikalbridges,42.0
Jae Crowder,0 days 00:25:48,1.0,6.0,16.7,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,-4.0,False,False,jaecrowder,7.0
Deandre Ayton,0 days 00:29:18,5.0,11.0,45.5,1.0,2.0,50.0,0.0,0.0,0.0,3.0,12.0,15.0,4.0,0.0,0.0,1.0,2.0,11.0,-1.0,False,False,deandreayton,30.0
Devin Booker,0 days 00:35:17,8.0,19.0,42.1,1.0,6.0,16.7,3.0,4.0,75.0,1.0,4.0,5.0,5.0,2.0,1.0,4.0,1.0,20.0,16.0,False,False,devinbooker,36.0
Chris Paul,0 days 00:27:14,4.0,10.0,40.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,12.0,0.0,0.0,2.0,4.0,8.0,-5.0,False,False,chrispaul,22.0
Cameron Johnson,0 days 00:21:03,7.0,9.0,77.8,3.0,4.0,75.0,4.0,4.0,100.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,21.0,25.0,False,False,cameronjohnson,37.0
Cameron Payne,0 days 00:19:37,2.0,5.0,40.0,1.0,2.0,50.0,2.0,2.0,100.0,0.0,5.0,5.0,6.0,2.0,0.0,0.0,6.0,7.0,26.0,False,False,cameronpayne,23.0
Frank Kaminsky,0 days 00:18:42,5.0,10.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,11.0,17.0,False,False,frankkaminsky,17.0
Jevon Carter,0 days 00:10:07,2.0,4.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,-6.0,False,False,jevoncarter,9.0
Langston Galloway,0 days 00:14:18,3.0,4.0,75.0,2.0,3.0,66.7,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,False,False,langstongalloway,15.0
Ty-Shon Alexander,0 days 00:01:09,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,False,False,tyshonalexander,-1.0
Damian Jones,0 days 00:01:09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,False,False,damianjones,1.0
E'Twaun Moore,,,,,,,,,,,,,,,,,,,,,True,False,etwaunmoore,
Dario Saric,,,,,,,,,,,,,,,,,,,,,True,True,dariosaric,
Jalen Smith,,,,,,,,,,,,,,,,,,,,,True,True,jalensmith,
