nom,position,minute,points,rebonds,passes_dec,steal,contres,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,ball_perdu,faute_p,plus_moins,dnp,blesse,score_ttfl
David Nwaba,F,0 days 00:17:14,6.0,1.0,1.0,1.0,1.0,2.0,6.0,33.3,1.0,3.0,33.3,1.0,2.0,50.0,0.0,1.0,0.0,3.0,-15.0,False,False,13.0
P.J. Tucker,F,0 days 00:29:35,4.0,1.0,0.0,2.0,1.0,1.0,4.0,25.0,1.0,4.0,25.0,1.0,1.0,100.0,0.0,1.0,1.0,3.0,-18.0,False,False,10.0
Christian Wood,C,0 days 00:31:49,23.0,3.0,1.0,0.0,1.0,10.0,20.0,50.0,1.0,5.0,20.0,2.0,3.0,66.7,1.0,2.0,1.0,4.0,-21.0,False,False,35.0
John Wall,G,0 days 00:34:26,14.0,10.0,5.0,1.0,2.0,5.0,14.0,35.7,2.0,4.0,50.0,2.0,2.0,100.0,1.0,9.0,4.0,3.0,-28.0,False,False,30.0
James Harden,G,0 days 00:37:46,20.0,6.0,9.0,0.0,2.0,7.0,14.0,50.0,2.0,8.0,25.0,4.0,5.0,80.0,1.0,5.0,7.0,2.0,-11.0,False,False,43.0
DeMarcus Cousins,,0 days 00:08:22,6.0,4.0,0.0,1.0,0.0,2.0,5.0,40.0,2.0,4.0,50.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,6.0,False,False,13.0
Eric Gordon,,0 days 00:21:39,4.0,2.0,1.0,0.0,0.0,1.0,4.0,25.0,0.0,2.0,0.0,2.0,4.0,50.0,0.0,2.0,4.0,2.0,2.0,False,False,7.0
Sterling Brown,,0 days 00:13:12,5.0,3.0,2.0,0.0,0.0,2.0,6.0,33.3,1.0,4.0,25.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0,False,False,12.0
Jae'Sean Tate,,0 days 00:20:10,9.0,6.0,1.0,2.0,1.0,3.0,4.0,75.0,0.0,0.0,0.0,3.0,4.0,75.0,3.0,3.0,1.0,2.0,-3.0,False,False,24.0
Ben McLemore,,0 days 00:16:41,6.0,1.0,1.0,0.0,0.0,2.0,6.0,33.3,2.0,6.0,33.3,0.0,0.0,0.0,0.0,1.0,2.0,2.0,-10.0,False,False,10.0
Bruno Caboclo,,0 days 00:03:02,2.0,1.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,False,3.0
Kenyon Martin Jr.,,0 days 00:03:02,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,False,False,0.0
Mason Jones,,0 days 00:03:02,3.0,3.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,2.0,0.0,0.0,0.0,False,False,9.0
