nom,position,minute,points,rebonds,passes_dec,steal,contres,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,ball_perdu,faute_p,plus_moins,dnp,blesse,score_ttfl
Keldon Johnson,F,0 days 00:34:44,3.0,7.0,1.0,1.0,3.0,1.0,6.0,16.7,0.0,2.0,0.0,1.0,2.0,50.0,0.0,7.0,2.0,4.0,-17.0,False,False,13.0
Trey Lyles,F,0 days 00:35:00,5.0,10.0,2.0,0.0,0.0,2.0,4.0,50.0,0.0,1.0,0.0,1.0,2.0,50.0,3.0,7.0,0.0,1.0,-2.0,False,False,20.0
LaMarcus Aldridge,C,0 days 00:37:43,20.0,9.0,4.0,1.0,0.0,9.0,21.0,42.9,1.0,3.0,33.3,1.0,1.0,100.0,2.0,7.0,2.0,2.0,-6.0,False,False,33.0
Lonnie Walker IV,G,0 days 00:30:22,25.0,3.0,4.0,1.0,1.0,9.0,19.0,47.4,3.0,7.0,42.9,4.0,6.0,66.7,0.0,3.0,2.0,0.0,-4.0,False,False,44.0
Dejounte Murray,G,0 days 00:36:56,11.0,4.0,5.0,0.0,0.0,5.0,15.0,33.3,1.0,3.0,33.3,0.0,0.0,0.0,1.0,3.0,0.0,4.0,-8.0,False,False,18.0
Patty Mills,,0 days 00:29:21,18.0,2.0,4.0,0.0,0.0,7.0,19.0,36.8,3.0,13.0,23.1,1.0,1.0,100.0,0.0,2.0,2.0,2.0,-1.0,False,False,31.0
Devin Vassell,,0 days 00:10:47,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-3.0,False,False,1.0
Rudy Gay,,0 days 00:18:50,4.0,7.0,1.0,0.0,1.0,2.0,6.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,1.0,3.0,False,False,10.0
Jakob Poeltl,,0 days 00:11:17,2.0,1.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,-2.0,False,False,5.0
Keita Bates-Diop,,,,,,,,,,,,,,,,,,,,,,True,False,
Tre Jones,,,,,,,,,,,,,,,,,,,,,,True,False,
Luka Samanic,,,,,,,,,,,,,,,,,,,,,,True,False,
DeMar DeRozan,,,,,,,,,,,,,,,,,,,,,,True,False,
