nom,position,minute,points,rebonds,passes_dec,steal,contres,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,ball_perdu,faute_p,plus_moins,dnp,blesse,score_ttfl
Will Barton,F,0 days 00:21:49,5.0,2.0,4.0,0.0,0.0,2.0,7.0,28.6,0.0,2.0,0.0,1.0,2.0,50.0,0.0,2.0,0.0,1.0,1.0,False,False,12.0
Paul Millsap,F,0 days 00:21:25,10.0,5.0,0.0,2.0,0.0,3.0,9.0,33.3,2.0,6.0,33.3,2.0,3.0,66.7,0.0,5.0,1.0,2.0,0.0,False,False,22.0
Nikola Jokic,C,0 days 00:30:03,22.0,10.0,5.0,1.0,1.0,9.0,15.0,60.0,1.0,3.0,33.3,3.0,3.0,100.0,3.0,7.0,2.0,1.0,8.0,False,False,46.0
Gary Harris,G,0 days 00:31:46,14.0,3.0,1.0,2.0,1.0,6.0,10.0,60.0,2.0,4.0,50.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,8.0,False,False,26.0
Jamal Murray,G,0 days 00:29:16,9.0,0.0,3.0,0.0,0.0,4.0,9.0,44.4,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,False,False,15.0
JaMychal Green,,0 days 00:22:53,10.0,8.0,1.0,1.0,0.0,4.0,5.0,80.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,7.0,0.0,2.0,24.0,False,False,25.0
Monte Morris,,0 days 00:22:50,12.0,3.0,3.0,1.0,0.0,5.0,10.0,50.0,2.0,5.0,40.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,26.0,False,False,24.0
PJ Dozier,,0 days 00:17:16,12.0,5.0,2.0,1.0,1.0,4.0,6.0,66.7,3.0,4.0,75.0,1.0,2.0,50.0,0.0,5.0,1.0,3.0,17.0,False,False,28.0
Facundo Campazzo,,0 days 00:14:10,5.0,2.0,2.0,2.0,0.0,2.0,5.0,40.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,16.0,False,False,11.0
Isaiah Hartenstein,,0 days 00:11:32,8.0,2.0,1.0,1.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,1.0,3.0,6.0,15.0,False,False,14.0
Bol Bol,,0 days 00:03:44,3.0,1.0,0.0,0.0,1.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,False,False,5.0
R.J. Hampton,,0 days 00:03:44,2.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,3.0
Zeke Nnaji,,0 days 00:03:44,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,1.0
Markus Howard,,0 days 00:02:53,2.0,0.0,1.0,0.0,0.0,1.0,3.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,False,False,4.0
Vlatko Cancar,,0 days 00:02:53,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-2.0,False,False,0.0
