nom,position,minute,points,rebonds,passes_dec,steal,contres,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,ball_perdu,faute_p,plus_moins,dnp,blesse,score_ttfl
Jarrett Culver,F,0 days 00:20:55,2.0,3.0,4.0,0.0,1.0,1.0,5.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,8.0,False,False,6.0
Juancho Hernangomez,F,0 days 00:27:10,7.0,8.0,2.0,0.0,0.0,2.0,5.0,40.0,1.0,3.0,33.3,2.0,2.0,100.0,2.0,6.0,0.0,2.0,16.0,False,False,21.0
Ed Davis,C,0 days 00:18:02,6.0,6.0,0.0,2.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,3.0,9.0,False,False,17.0
Malik Beasley,G,0 days 00:35:19,24.0,3.0,0.0,0.0,0.0,9.0,18.0,50.0,3.0,6.0,50.0,3.0,3.0,100.0,0.0,3.0,0.0,0.0,13.0,False,False,36.0
D 'Angelo Russell,G,0 days 00:31:14,27.0,5.0,5.0,1.0,0.0,9.0,21.0,42.9,4.0,7.0,57.1,5.0,6.0,83.3,0.0,5.0,4.0,2.0,4.0,False,False,44.0
Naz Reid,,0 days 00:29:23,11.0,7.0,1.0,0.0,1.0,3.0,7.0,42.9,1.0,4.0,25.0,4.0,4.0,100.0,1.0,6.0,3.0,3.0,-4.0,False,False,24.0
Anthony Edwards,,0 days 00:18:41,0.0,6.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,-5.0,False,False,-1.0
Ricky Rubio,,0 days 00:22:58,8.0,2.0,6.0,3.0,0.0,2.0,5.0,40.0,0.0,1.0,0.0,4.0,4.0,100.0,0.0,2.0,0.0,1.0,0.0,False,False,23.0
Jarred Vanderbilt,,0 days 00:19:08,5.0,8.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,7.0,1.0,2.0,-8.0,False,False,14.0
Josh Okogie,,0 days 00:20:08,6.0,4.0,0.0,0.0,1.0,3.0,5.0,60.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,2.0,7.0,False,False,15.0
Jake Layman,,,,,,,,,,,,,,,,,,,,,,True,False,
Jaden McDaniels,,,,,,,,,,,,,,,,,,,,,,True,False,
Jordan McLaughlin,,,,,,,,,,,,,,,,,,,,,,True,False,
Jaylen Nowell,,,,,,,,,,,,,,,,,,,,,,True,False,
